tag,band,idx,song,jitter_local,shimmer_local,hnr_mean,f0_median_st,f0_range_st,f0_std_st,vocal_centroid,n_voiced_frames
afterglow__054,afterglow,54,青のすみか (Cover),0.018040912457134597,0.10724436491848441,12.502904667134626,65.18682057635243,18.9,5.849546826698976,2723.5964893839077,6818
afterglow__055,afterglow,55,GO!!! (Cover),0.016316021913671784,0.10864844972079656,10.464070868676515,66.98682057635243,10.399999999999999,4.455868199134744,3017.4871441681557,6977
afterglow__056,afterglow,56,天ノ弱 (Cover),0.013421078066274838,0.08626802539369491,14.060374490987268,65.18682057635243,14.600000000000009,5.59518997617529,3135.697651088834,5914
afterglow__057,afterglow,57,アスノヨゾラ哨戒班 (Cover),0.01538660106672254,0.11446882784641739,10.434213475991873,63.88682057635243,26.07500000000001,7.864025213539797,3314.7132962041524,5186
afterglow__058,afterglow,58,瞬間センチメンタル (Cover),0.010017750959205896,0.08334096988241987,14.749912999863772,67.98682057635243,14.0,4.412943375667668,2992.981511503075,6565
afterglow__059,afterglow,59,プライド革命 (Cover),0.013493364012140529,0.10977855101252881,11.900057377009883,64.48682057635243,16.799999999999997,4.898544574156162,3246.4193567730263,7166
afterglow__060,afterglow,60,命に嫌われている。 (Cover),0.01714540771799042,0.11556387525302377,12.54021412352553,70.98682057635243,18.800000000000004,6.816076457086936,2947.1347258610685,7192
afterglow__061,afterglow,61,Redo (Cover),0.013258901383670287,0.09529010017704947,13.34834084540768,67.58682057635244,22.5,6.485765699156006,2892.789365791878,8709
afterglow__062,afterglow,62,インフェルノ (Cover),0.01353913436026617,0.08818512050278998,14.087113664347036,64.58682057635244,23.400000000000006,7.032317132571963,2805.541738480551,6381
afterglow__063,afterglow,63,ドラマツルギー (Cover),0.014938478502213758,0.10924625497663946,12.56414480843244,66.08682057635244,17.9,6.1209777201571915,2786.3244752666774,7802
afterglow__064,afterglow,64,COLORS (Cover),0.017577885250400643,0.11067794544387245,12.774663589466007,63.18682057635243,19.20000000000001,5.402155639513548,2560.966818286099,6489
afterglow__065,afterglow,65,午夜の待ち合わせ (Cover),0.01618885436774394,0.11982497687956606,11.039470235948762,65.48682057635243,15.299999999999997,5.23970230260247,2897.0571675178553,4892
afterglow__066,afterglow,66,サムライハート（Some Like It Hot!!） (Cover),0.013771273167425891,0.1005891143964381,12.267658609916943,67.28682057635244,23.5,6.1339014110989165,2977.463236232005,5780
afterglow__067,afterglow,67,ベノム (Cover),0.018868780997479316,0.12084281948222914,10.549766462582062,66.38682057635243,23.819999999999986,6.948152477618756,3241.447694073658,4473
afterglow__068,afterglow,68,Don't say “lazy” (Cover),0.01958012591389686,0.13183069938007222,8.948105602600824,64.38682057635243,19.0,5.806969858980672,3257.455559100581,4699
afterglow__069,afterglow,69,Part of the Life,0.015492959924258257,0.09294502665363827,13.668102679984532,65.98682057635243,16.999999999999993,6.1795626289600065,2847.8979551868642,2614
afterglow__070,afterglow,70,Punchline Halloween!!!,0.01350924149927917,0.09324312889825415,13.460837294366362,65.78682057635244,18.9,5.851188647398834,2807.8119923780373,7162
afterglow__071,afterglow,71,I love your way！,0.012996512579797464,0.07196101923222523,15.135947894366103,66.78682057635243,13.700000000000003,5.0186156789218295,3099.772105041357,7247
ave_mujica__072,ave_mujica,72,KiLLKiSS,0.015196092368890546,0.1135371885201361,10.652714914198437,66.98682057635243,33.3,9.073863984764518,2938.2469237257055,5659
ave_mujica__073,ave_mujica,73,"Georgette Me, Georgette You",0.011353528545764557,0.07202885784486363,16.558286825273985,66.58682057635244,16.20000000000001,6.024700096050682,2467.955200255221,7963
ave_mujica__074,ave_mujica,74,Imprisoned XII,0.008794649330497986,0.058066143166510924,17.631995457226683,66.68682057635243,16.10000000000001,5.555123255133356,2566.66249254491,6476
ave_mujica__075,ave_mujica,75,Crucifix X,0.012062114921364163,0.0836989165666454,13.488459994302762,64.98682057635243,23.200000000000003,6.4106133906558105,3276.2835091367956,7161
ave_mujica__076,ave_mujica,76,八芒星ダンス,0.01697994181046391,0.10362261257751358,10.465834423589932,67.08682057635244,16.96000000000003,5.870804799320655,3185.0288513413707,6015
ave_mujica__077,ave_mujica,77,顔,0.01665982952072836,0.10393032155369343,10.07560051926544,66.18682057635243,22.10000000000001,6.609921497896032,3208.267781600414,6645
ave_mujica__078,ave_mujica,78,天球のMúsica,0.01196927391440641,0.08527863971995704,14.149586200341526,65.28682057635243,17.579999999999977,5.546656299536478,3126.59088905459,9488
ave_mujica__079,ave_mujica,79,黒のバースデイ,0.012851360842683622,0.09334599252671971,13.906185647601816,66.28682057635243,26.1,6.728514483585883,2532.6309307557267,7175
