idx,band,song,duration_sec,bpm_autocorr,extract_sec,error,bpm_madmom,beat_count,beat_interval_median_sec,halftime_flag,official_bpm,ratio,octave_class
60,afterglow,命に嫌われている。 (Cover),273.82,198.76802884615384,21.67,,199.99999999999952,821.0,0.3,False,200.0,0.9999999999999976,
61,afterglow,Redo (Cover),261.28,123.046875,20.57,,187.500000000004,755.0,0.32,False,190.0,0.986842105263179,
62,afterglow,インフェルノ (Cover),214.04,184.5703125,16.52,,187.49999999999568,661.0,0.32,False,185.0,1.01351351351349,
63,afterglow,ドラマツルギー (Cover),238.23,184.5703125,18.72,,150.0000000000032,704.0,0.4,True,149.0,1.0067114093959948,
64,afterglow,COLORS (Cover),218.32,129.19921875,17.15,,136.36363636363706,495.0,0.44,False,136.0,1.002673796791449,
65,afterglow,午夜の待ち合わせ (Cover),171.24,129.19921875,13.34,,187.500000000004,542.0,0.32,False,189.0,0.9920634920635133,
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),190.43,107.666015625,15.06,,113.20754716981108,360.0,0.53,False,113.0,1.001836700617797,
67,afterglow,ベノム (Cover),198.07,135.99917763157896,15.67,,153.846153846148,502.0,0.39,False,152.0,1.0121457489878158,
69,afterglow,Part of the Life,88.46,184.5703125,7.04,,187.49999999999983,273.0,0.32,False,185.0,1.0135135135135125,
70,afterglow,Punchline Halloween!!!,233.89,184.5703125,17.91,,181.8181818181749,702.0,0.33,False,180.0,1.0101010101009718,
71,afterglow,I love your way！,263.4,129.19921875,19.99,,260.8695652173868,1117.0,0.23,False,130.0,2.0066889632106677,double(2x)
72,ave_mujica,KiLLKiSS,208.53,161.4990234375,15.79,,199.9999999999972,663.0,0.3,False,200.0,0.9999999999999859,
73,ave_mujica,"Georgette Me, Georgette You",234.22,117.45383522727272,17.82,,142.85714285714226,554.0,0.42,False,142.0,1.0060362173038189,
74,ave_mujica,Imprisoned XII,191.57,161.4990234375,14.43,,105.2631578947368,335.0,0.57,False,158.0,0.666222518321119,
75,ave_mujica,Crucifix X,298.51,143.5546875,23.21,,103.44827586206674,504.0,0.58,False,103.0,1.0043521928355994,
76,ave_mujica,八芒星ダンス,231.17,135.99917763157896,17.75,,115.38461538461311,455.0,0.52,False,114.0,1.0121457489878343,
77,ave_mujica,顔,241.73,56.17357336956522,18.76,,139.53488372093034,565.0,0.43,False,140.0,0.9966777408637881,
79,ave_mujica,黒のバースデイ,233.96,135.99917763157896,17.87,,199.9999999999924,751.0,0.3,False,198.0,1.0101010101009718,
83,ave_mujica,Mas?uerade Rhapsody Re?uest,249.65,123.046875,18.99,,187.500000000004,744.0,0.32,False,190.0,0.986842105263179,
