idx,band,song,duration_sec,key_ks,mode_ks,key_ks_confidence,modulation_flag,key_essentia,mode_essentia,key_mismatch,mode_only_mismatch,error
85,ave_mujica,Symbol I : △,312.18,F#,minor,0.587,False,B,minor,True,False,
88,ave_mujica,Symbol IV : Earth,239.14,D#,major,0.484,True,C,minor,True,False,
91,ave_mujica,in your blue eyes,222.77,D,minor,0.342,False,D,minor,False,False,
90,ave_mujica,The Whole Blue World,257.3,C#,major,0.356,True,C#,major,False,False,
89,ave_mujica,Ether,285.69,G#,minor,0.239,False,E,major,True,False,
92,ave_mujica,素晴らしき世界 でも どこにもない場所,269.5,C,major,0.31,True,C,minor,False,True,
95,ave_mujica,Sophie,197.01,B,minor,0.74,False,B,minor,False,False,
93,ave_mujica,Angles,275.08,B,major,0.334,True,Ab,minor,True,False,
96,ave_mujica,‘S/’ The Way,227.45,E,minor,0.505,False,E,minor,False,False,
94,ave_mujica,DIVINE,257.63,F,major,0.415,True,G,major,True,False,
98,ave_mujica,堕天 (Cover),183.79,F#,minor,0.201,False,Ab,minor,True,False,
97,ave_mujica,碧い瞳の中に,223.96,D,minor,0.344,False,D,minor,False,False,
103,various_artists,"Be shine, shining!",96.33,E,major,0.586,True,E,major,False,False,
99,ave_mujica,KINGS (Cover),317.63,B,major,0.288,False,Ab,minor,True,False,
102,various_artists,Glee! Glee! Glee!,211.83,G,major,0.723,False,G,major,False,False,
101,various_artists,Don't be afraid!,238.8,A#,minor,0.258,False,Eb,minor,True,False,
100,ave_mujica,暗黒天国 (Cover),265.32,F,minor,0.403,True,Bb,minor,True,False,
104,various_artists,"Here, the world",263.24,G#,major,0.682,True,Ab,major,True,False,
106,hello_happy_world,キミがいなくちゃっ！,243.77,D,major,0.874,False,D,major,False,False,
105,various_artists,CiRCLE THANKS MUSiC♪,313.7,G,major,0.878,False,G,major,False,False,
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,272.43,D#,major,0.832,False,Eb,major,True,False,
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,235.2,B,major,0.284,True,E,major,True,False,
108,hello_happy_world,スマイルブーケで た〜まや〜！,271.97,G,major,0.252,False,C#,minor,True,False,
109,hello_happy_world,えがお･シング･あ･ソング,249.2,E,major,0.571,True,E,major,False,False,
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,233.3,F#,minor,0.412,True,F#,minor,False,False,
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,219.84,G#,minor,0.652,False,Ab,minor,True,False,
112,hello_happy_world,ないすみちゅっ！,257.2,G#,major,0.237,False,Eb,minor,True,False,
114,hello_happy_world,うぃーきゃん☆フレフレっ！,239.64,D,major,0.381,True,A,major,True,False,
115,hello_happy_world,えがおのオーケストラっ！,230.2,A#,major,0.9,False,Bb,major,True,False,
118,hello_happy_world,せかいのっびのびトレジャー！,212.7,D,major,0.469,False,D,major,False,False,
119,hello_happy_world,きらっ☆と キミフェス！,231.07,G#,minor,0.933,False,Ab,minor,True,False,
116,hello_happy_world,にこにこねくと！,250.64,D,major,0.878,False,D,major,False,False,
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,246.3,A,major,0.374,True,A,major,False,False,
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,217.77,C,major,0.965,False,C,major,False,False,
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,256.37,C,major,0.673,False,C,major,False,False,
122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,292.0,F,major,0.857,False,F,major,False,False,
123,hello_happy_world,Happy! Happier! Happiest!,242.9,F,major,0.473,False,F,major,False,False,
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,224.1,A,minor,0.69,False,A,minor,False,False,
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,233.2,D#,major,0.686,False,Eb,major,True,False,
127,hello_happy_world,おもいやりハーモニー,231.5,F#,major,0.434,False,F#,major,False,False,
126,hello_happy_world,おもいでイルミネーション,252.7,A#,major,0.426,False,Bb,major,True,False,
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,210.6,A,major,0.798,False,A,major,False,False,
129,hello_happy_world,えがお、あーゆーれでぃ???,226.3,D,major,0.528,True,D,major,False,False,
132,hello_happy_world,ハッピー☆マテリアル,225.03,C#,major,0.372,True,Eb,minor,True,False,
133,hello_happy_world,太陽曰く燃えよカオス,239.2,A,minor,0.484,True,C,major,False,False,
130,hello_happy_world,ハッピーサマーウェディング,284.67,C,major,0.24,False,D,minor,True,False,
135,hello_happy_world,コレカラ,214.93,A,major,0.502,True,A,major,False,False,
134,hello_happy_world,エクストラ・マジック・アワー,255.3,D#,major,0.523,False,Eb,major,True,False,
131,hello_happy_world,ひまわりの約束,307.3,D,major,0.531,True,D,major,False,False,
136,hello_happy_world,全力少年,241.8,G,major,0.59,True,G,major,False,False,
137,hello_happy_world,オレンジ,278.4,F,major,0.983,False,F,major,False,False,
139,hello_happy_world,ン・パカマーチ,156.0,D,major,0.799,False,D,major,False,False,
138,hello_happy_world,Happy Girl,238.13,D,major,0.679,False,D,major,False,False,
140,hello_happy_world,サンバロハッピ〜！,216.5,C,major,0.357,True,F,major,True,False,
141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,206.8,D,minor,0.298,True,F,major,False,False,
142,hello_happy_world,むすんでわらって,241.97,C,major,0.473,True,F,major,True,False,
143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,235.0,E,major,0.488,True,E,major,False,False,
144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,237.7,A,major,0.482,True,A,major,False,False,
146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,212.33,G#,major,0.469,True,Ab,major,True,False,
145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,227.63,F#,major,0.327,False,F#,major,False,False,
147,hello_happy_world,とーくとぅみー・とーくとぅゆー,208.57,G,minor,0.629,True,C,minor,True,False,
152,hello_happy_world,上海ハニー (Cover),178.23,D,major,0.393,True,A,minor,True,False,
149,hello_happy_world,Listen to Smile!,244.17,G,major,0.466,True,G,major,False,False,
148,hello_happy_world,ハイタッチ／＼びりーばーず☆,254.37,C,major,0.507,False,C,major,False,False,
150,hello_happy_world,スマイリーキャロル,247.07,F,major,0.215,False,C,major,True,False,
151,hello_happy_world,えがお、み〜っけた！,270.2,G,major,0.635,False,G,major,False,False,
153,hello_happy_world,シル・ヴ・プレジデント (Cover),193.5,G#,major,0.399,True,Ab,major,True,False,
155,hello_happy_world,はいよろこんで (Cover),160.23,C#,minor,1.0,False,C#,minor,False,False,
157,hello_happy_world,強風オールバック (Cover),135.1,G,major,0.798,False,E,minor,False,False,
154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),251.1,D,minor,0.366,True,C,major,True,False,
156,hello_happy_world,シカ色デイズ (Cover),202.17,D,major,0.377,True,G,major,True,False,
159,hello_happy_world,許婚っきゅん (Cover),177.47,B,minor,0.481,True,B,minor,False,False,
158,hello_happy_world,最高到達点 (Cover),226.67,F,major,0.764,False,F,major,False,False,
161,hello_happy_world,ドレミファロンド (Cover),200.63,D#,major,0.849,False,Eb,major,True,False,
160,hello_happy_world,新宝島 (Cover),251.2,D,major,0.64,False,D,major,False,False,
164,hello_happy_world,エイリアンエイリアン (Cover),183.13,C#,minor,0.421,False,C#,minor,False,False,
162,hello_happy_world,きゅうくらりん (Cover),214.83,D,minor,0.646,False,C,major,True,False,
165,hello_happy_world,いーあるふぁんくらぶ (Cover),239.67,D,minor,0.476,False,D,minor,False,False,
166,hello_happy_world,回レ！雪月花 (Cover),234.83,C,minor,0.87,False,C,minor,False,False,
163,hello_happy_world,ロメオ (Cover),320.2,G#,major,0.451,True,Ab,major,True,False,
167,hello_happy_world,恋愛裁判 (Cover),223.13,E,major,0.346,True,E,major,False,False,
171,hello_happy_world,ようこそジャパリパークへ (Cover),206.23,F,major,0.373,True,F,major,False,False,
169,hello_happy_world,GO! GO! MANIAC (Cover),249.1,B,minor,0.459,False,B,major,False,True,
170,hello_happy_world,Dragon Night (Cover),228.73,D#,major,0.698,True,Eb,major,True,False,
168,hello_happy_world,TOMORROW (Cover),274.9,F,major,0.638,True,F,major,False,False,
173,hello_happy_world,おジャ魔女カーニバル!! (Cover),217.37,C,minor,0.421,True,C,minor,False,False,
172,hello_happy_world,ウィーアー！ (Cover),241.13,G,major,0.684,False,G,major,False,False,
174,hello_happy_world,ダーリンダンス (Cover),207.63,F#,minor,0.554,True,E,major,True,False,
175,hello_happy_world,ノーポイッ！ (Cover),242.97,B,major,0.378,False,E,major,True,False,
179,millsage,起死開戦,195.32,E,major,0.235,False,E,major,False,False,
178,ikka_dumb_rock,ホーミー・タイッ！！,215.43,D,minor,0.355,True,D,minor,False,False,
177,hello_happy_world,シルエット (Cover),241.03,G,minor,0.462,True,Eb,major,True,False,
176,hello_happy_world,SHINY DAYS (Cover),262.6,F#,major,0.595,False,F#,major,False,False,
181,morfonica,メランコリックララバイ,216.07,G,minor,0.537,True,F,minor,True,False,
182,morfonica,flame of hope,252.94,A,minor,0.97,False,A,minor,False,False,
