idx,band,song,duration_sec,speech_median,speech_p10,speech_p90,speech_std,n_frames,error,vad_speech_ratio,vad_n_frames,vad_error
69,afterglow,Part of the Life,88.66390022675736,0.0517095699906349,0.0088562639430165,0.2401350140571594,0.0970863625407219,176,,0.321889607034427,11,
70,afterglow,Punchline Halloween!!!,234.16666666666663,0.0431589446961879,0.004749622195959,0.2070615142583847,0.0801011845469474,467,,0.1524555024505782,24,
71,afterglow,I love your way！,263.7,0.0748577564954757,0.0133791910484433,0.2457657158374786,0.0928164049983024,526,,0.0792567311338642,41,
72,ave_mujica,KiLLKiSS,208.77242630385487,0.0338799618184566,0.0034179887734353,0.1577692478895187,0.0704199075698852,416,,0.0,11,
73,ave_mujica,"Georgette Me, Georgette You",234.6790929705216,0.0482551455497741,0.0061934269033372,0.2172823548316955,0.0950076878070831,468,,0.1009037339814525,38,
74,ave_mujica,Imprisoned XII,192.16834467120185,0.0359325036406517,0.0047799600288271,0.1892130225896835,0.0839525088667869,383,,0.0774320956817166,33,
75,ave_mujica,Crucifix X,299.0034013605442,0.0371214114129543,0.0055795712396502,0.1635058522224426,0.0686497166752815,597,,0.1024737382826912,36,
76,ave_mujica,八芒星ダンス,231.54938775510203,0.0364139154553413,0.0059425546787679,0.1663880348205566,0.0683777928352356,462,,0.2827905811690862,37,
77,ave_mujica,顔,242.1725170068028,0.0576894879341125,0.0103651406243443,0.1955271065235138,0.0831184685230255,483,,0.1809453537908532,35,
78,ave_mujica,天球のMúsica,280.33451247165533,0.0372650921344757,0.0080010760575532,0.181874081492424,0.0759897157549858,559,,0.0998093126672527,27,
79,ave_mujica,黒のバースデイ,234.2613605442177,0.0398861467838287,0.0033425949513912,0.1799328476190567,0.0862372517585754,467,,0.1252447186395964,17,
80,ave_mujica,ふたつの月 ~Deep Into The Forest~,304.9244897959184,0.0483462810516357,0.0040483316406607,0.2131446748971939,0.0920242965221405,608,,0.0812660183094504,38,
81,ave_mujica,Choir ‘S’ Choir,288.136462585034,0.0597886741161346,0.0089792925864458,0.2086037397384643,0.0869275107979774,575,,0.3072155037629735,40,
82,ave_mujica,神さま、バカ,223.97868480725623,0.0421348959207534,0.0050158356316387,0.173461377620697,0.0784855335950851,446,,0.1860891340387017,28,
83,ave_mujica,Mas?uerade Rhapsody Re?uest,249.7920181405896,0.0419594570994377,0.0063968081958591,0.2084748148918151,0.0897940695285797,498,,0.3409236484755317,32,
84,ave_mujica,Ave Mujica,277.98934240362814,0.0477572232484817,0.0016668563475832,0.1906307637691497,0.0797772482037544,554,,0.1936045217555527,23,
85,ave_mujica,Symbol I : △,312.1806802721088,0.0317609049379825,0.0054631326347589,0.1559040546417236,0.0718892440199852,623,,0.0572104576456223,30,
86,ave_mujica,Symbol II : Air,212.8109297052154,0.0466199070215225,0.0084528978914022,0.1670762151479721,0.0741393864154815,424,,0.2237666943222785,29,
87,ave_mujica,Symbol III : ▽,256.928843537415,0.0378248281776905,0.0049849520437419,0.2090438455343246,0.0928798243403434,512,,0.0162690939272591,21,
88,ave_mujica,Symbol IV : Earth,239.142358276644,0.0313982665538787,0.0039662634953856,0.1348128467798233,0.073921337723732,477,,0.1062128784160482,29,
89,ave_mujica,Ether,285.6867573696145,0.0255679972469806,0.0040910099633038,0.1563138365745544,0.0686377808451652,570,,0.0879984808535921,16,
90,ave_mujica,The Whole Blue World,257.3013605442177,0.0567180104553699,0.0056394003331661,0.1981482356786728,0.0843993052840232,513,,0.1444220809158133,53,
91,ave_mujica,in your blue eyes,222.77242630385487,0.0641675367951393,0.0104314135387539,0.2453185617923736,0.0956585928797721,444,,0.0804408310161799,32,
92,ave_mujica,素晴らしき世界 でも どこにもない場所,269.50244897959186,0.0366248860955238,0.0056959385983645,0.1664206385612487,0.0739646255970001,538,,0.1038951642134961,28,
93,ave_mujica,Angles,275.08,0.0453383065760135,0.0039608706720173,0.2148892730474472,0.0963303819298744,549,,0.0491493383742912,27,
94,ave_mujica,DIVINE,257.6257596371882,0.0395423211157321,0.0076657319441437,0.1615859866142273,0.0729268342256546,514,,0.1726535069151892,36,
95,ave_mujica,Sophie,197.0097052154195,0.0600078776478767,0.0065338416025042,0.2525928616523742,0.103713646531105,393,,0.0815188080792955,22,
96,ave_mujica,‘S/’ The Way,227.45242630385488,0.0624066703021526,0.0103388773277401,0.2429957091808319,0.0982262194156646,453,,0.1030545122208241,37,
97,ave_mujica,碧い瞳の中に,223.96,0.0620059370994567,0.0058130212128162,0.2487200498580932,0.0968409776687622,446,,0.0625111627076263,33,
98,ave_mujica,堕天 (Cover),183.78666666666663,0.0663644522428512,0.01345831528306,0.2187704145908355,0.0854631960391998,366,,0.3211331615082295,19,
99,ave_mujica,KINGS (Cover),317.62666666666667,0.057330384850502,0.0092473020777106,0.1847546100616455,0.0715906620025634,634,,0.1181890611757866,38,
100,ave_mujica,暗黒天国 (Cover),265.32,0.0527759343385696,0.0095794750377535,0.152057483792305,0.0637872293591499,529,,0.0195989748228554,33,
101,various_artists,Don't be afraid!,238.8,0.0596468746662139,0.0084601631388068,0.2243136465549469,0.0944249406456947,476,,0.234505862646566,31,
102,various_artists,Glee! Glee! Glee!,211.8333333333333,0.0660644397139549,0.0072250477969646,0.203392818570137,0.0826563090085983,422,,0.1490794356649418,13,
103,various_artists,"Be shine, shining!",96.33333333333331,0.064853049814701,0.0080421715974807,0.2983558475971222,0.1114077717065811,191,,0.2499652898074005,10,
104,various_artists,"Here, the world",263.24,0.1000709682703018,0.0118630360811948,0.2772497832775116,0.1108074337244033,525,,0.0704300258319404,26,
105,various_artists,CiRCLE THANKS MUSiC♪,313.70226757369613,0.0462892279028892,0.0090212514623999,0.193090558052063,0.0821160674095153,626,,0.0881090093972449,54,
106,hello_happy_world,キミがいなくちゃっ！,243.7689795918368,0.0819533839821815,0.0083799054846167,0.2755844593048095,0.1068106964230537,486,,0.1451374046740972,26,
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,272.43333333333334,0.0737478733062744,0.0090401703491806,0.3019281923770904,0.1227165162563324,543,,0.0809005137494626,31,
108,hello_happy_world,スマイルブーケで た〜まや〜！,271.96666666666664,0.0554701089859008,0.0068041370250284,0.212566003203392,0.0845777168869972,542,,0.2002451127401402,40,
109,hello_happy_world,えがお･シング･あ･ソング,249.2,0.0820619463920593,0.0095564601942896,0.2293090373277664,0.0863072574138641,497,,0.0750401284109149,42,
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,235.2,0.0775451883673667,0.0090494668111205,0.2493144273757934,0.1000796407461166,469,,0.1445578231292517,35,
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,233.3,0.0750857070088386,0.0100968461483716,0.2946361005306244,0.1126665621995925,465,,0.0805829404200599,30,
112,hello_happy_world,ないすみちゅっ！,257.2,0.075625941157341,0.0092464517802,0.2235574424266815,0.0875453650951385,513,,0.2106531881804042,46,
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,219.8356462585034,0.0932651832699775,0.0118500860407948,0.2527414560317993,0.0984052941203117,438,,0.0943432166647239,30,
114,hello_happy_world,うぃーきゃん☆フレフレっ！,239.6356462585034,0.0796648263931274,0.0088131232187151,0.2594754993915558,0.0995795801281929,478,,0.2301828035793927,26,
115,hello_happy_world,えがおのオーケストラっ！,230.2,0.0870973393321037,0.0099711744114756,0.2579264640808105,0.0982884913682937,459,,0.2634231103388357,39,
116,hello_happy_world,にこにこねくと！,250.63560090702947,0.0515126511454582,0.0065985573455691,0.2118837237358093,0.086428701877594,500,,0.0100544365949572,47,
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,246.3,0.0750518515706062,0.0076588471420109,0.2398286014795303,0.0909930542111396,491,,0.063256191636216,33,
118,hello_happy_world,せかいのっびのびトレジャー！,212.7,0.0893094316124916,0.0161700379103422,0.2719463109970093,0.1142733916640281,424,,0.2747531734837799,30,
119,hello_happy_world,きらっ☆と キミフェス！,231.06666666666663,0.0829584077000618,0.0148360477760434,0.2493145763874054,0.0935695022344589,461,,0.1855741321431286,57,
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,217.76666666666668,0.0760425776243209,0.0089907804504036,0.2587240040302276,0.101556584239006,434,,0.1564977655271539,36,
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,256.3666666666667,0.0988587588071823,0.0150839304551482,0.3048394918441772,0.1119168177247047,511,,0.1532960478728344,28,
122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,292.0,0.0906058773398399,0.0138812689110636,0.2729826867580414,0.1044915616512298,583,,0.0128082191780821,44,
123,hello_happy_world,Happy! Happier! Happiest!,242.9,0.0964103192090988,0.0150864608585834,0.2801874577999115,0.1039057150483131,484,,0.0257719226018938,50,
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,224.1,0.0698908865451812,0.0092307897284626,0.2341396510601043,0.0904408171772956,447,,0.4623828647925033,41,
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,233.2,0.0882245749235153,0.0102819493040442,0.2463497221469879,0.1005576029419899,465,,0.131303602058319,37,
126,hello_happy_world,おもいでイルミネーション,252.7,0.0679490119218826,0.0116157131269574,0.2209844142198562,0.0882014110684394,504,,0.0480411555203799,32,
127,hello_happy_world,おもいやりハーモニー,231.5,0.059508629143238,0.0100396266207098,0.2268311083316803,0.0879342406988143,462,,0.0879481641468682,28,
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,210.6,0.0771498382091522,0.0089920628815889,0.2670305967330932,0.1076885610818862,420,,0.0114909781576448,22,
129,hello_happy_world,えがお、あーゆーれでぃ???,226.3,0.0736491978168487,0.0110949901863932,0.2252791821956634,0.0873070582747459,451,,0.0463985859478568,31,
130,hello_happy_world,ハッピーサマーウェディング,284.6666666666667,0.1128021776676178,0.0122864553704857,0.3100433647632599,0.1166879683732986,568,,0.1091100622723901,45,
131,hello_happy_world,ひまわりの約束,307.3,0.042872104793787,0.0045959679409861,0.1806260198354721,0.0794939026236534,613,,0.165636186137325,44,
132,hello_happy_world,ハッピー☆マテリアル,225.03333333333333,0.08395367115736,0.0102268643677234,0.2370120286941528,0.0898988619446754,449,,0.2723151621398382,24,
133,hello_happy_world,太陽曰く燃えよカオス,239.2,0.0830998569726944,0.0144968600943684,0.2382115423679351,0.0947258174419403,477,,0.225418060200669,34,
134,hello_happy_world,エクストラ・マジック・アワー,255.3,0.0540836229920387,0.0037904458586126,0.2027047872543335,0.0810129046440124,509,,0.143360752056404,53,
135,hello_happy_world,コレカラ,214.9333333333333,0.0657538324594497,0.0084225917235016,0.2063484936952591,0.0794761180877685,428,,0.2492865521699455,20,
136,hello_happy_world,全力少年,241.8,0.0746012926101684,0.0100195007398724,0.2272536009550094,0.0914506390690803,482,,0.2504549214226634,22,
