idx,band,song,duration_sec,dfa_alpha,danceability_norm,dfa_alpha_native,danceability_clf_prob,error
108,hello_happy_world,スマイルブーケで た〜まや〜！,271.97,0.8721551299095154,0.6884,,1.1465849876403809,
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,233.3,0.9029392600059509,0.5182,,1.1074942350387573,
112,hello_happy_world,ないすみちゅっ！,257.2,0.8427212238311768,0.8161,,1.1866320371627808,
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,219.84,0.7995256185531616,0.9088,,1.250741720199585,
114,hello_happy_world,うぃーきゃん☆フレフレっ！,239.64,0.8402390480041504,0.8222,,1.190137505531311,
115,hello_happy_world,えがおのオーケストラっ！,230.2,0.8691070675849915,0.7006,,1.1506060361862183,
118,hello_happy_world,せかいのっびのびトレジャー！,212.7,0.8371807932853699,0.8374,,1.1944851875305176,
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,246.3,0.8912650346755981,0.5851,,1.1220005750656128,
116,hello_happy_world,にこにこねくと！,250.64,0.8905014395713806,0.5881,,1.1229627132415771,
119,hello_happy_world,きらっ☆と キミフェス！,231.07,0.8319061398506165,0.848,,1.2020585536956787,
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,217.77,0.8903837203979492,0.5912,,1.1231110095977783,
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,256.37,0.8702915906906128,0.6976,,1.1490401029586792,
123,hello_happy_world,Happy! Happier! Happiest!,242.9,0.9103579521179199,0.4833,,1.0984690189361572,
122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,292.0,0.7816861867904663,0.9377,,1.2792856693267822,
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,224.1,0.8042036890983582,0.9027,,1.2434660196304321,
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,233.2,0.7565685510635376,0.965,,1.321757435798645,
127,hello_happy_world,おもいやりハーモニー,231.5,0.8832610845565796,0.6307,,1.1321680545806885,
126,hello_happy_world,おもいでイルミネーション,252.7,0.8213809728622437,0.8739,,1.2174617052078247,
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,210.6,0.855747401714325,0.7599,,1.1685690879821777,
129,hello_happy_world,えがお、あーゆーれでぃ???,226.3,0.9480078816413879,0.3009,,1.054843544960022,
132,hello_happy_world,ハッピー☆マテリアル,225.03,0.773202657699585,0.9498,,1.2933220863342285,
130,hello_happy_world,ハッピーサマーウェディング,284.67,0.6871422529220581,0.9954,,1.4553025960922241,
133,hello_happy_world,太陽曰く燃えよカオス,239.2,0.7698638439178467,0.9529,,1.2989310026168823,
135,hello_happy_world,コレカラ,214.93,0.8274312019348145,0.8587,,1.2085596323013306,
131,hello_happy_world,ひまわりの約束,307.3,0.9158631563186646,0.4559,,1.091866374015808,
134,hello_happy_world,エクストラ・マジック・アワー,255.3,0.9187158942222595,0.4498,,1.0884758234024048,
136,hello_happy_world,全力少年,241.8,0.7684904336929321,0.9544,,1.3012524843215942,
139,hello_happy_world,ン・パカマーチ,156.0,0.8604553937911987,0.7401,,1.1621754169464111,
137,hello_happy_world,オレンジ,278.4,0.8144140839576721,0.886,,1.2278766632080078,
138,hello_happy_world,Happy Girl,238.13,0.7380519509315491,0.9802,,1.3549182415008545,
141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,206.8,0.8992642164230347,0.5395,,1.1120201349258423,
140,hello_happy_world,サンバロハッピ〜！,216.5,0.8712409734725952,0.6915,,1.1477880477905273,
143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,235.0,0.7416372299194336,0.9787,,1.3483681678771973,
142,hello_happy_world,むすんでわらって,241.97,0.887167751789093,0.614,,1.1271827220916748,
144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,237.7,0.953461766242981,0.2736,,1.0488097667694092,
145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,227.63,0.972760796546936,0.2067,,1.0280019044876099,
146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,212.33,0.7883254885673523,0.9301,,1.268511414527893,
147,hello_happy_world,とーくとぅみー・とーくとぅゆー,208.57,0.7927192449569702,0.9195,,1.261480450630188,
149,hello_happy_world,Listen to Smile!,244.17,0.9769505262374878,0.19,,1.0235933065414429,
148,hello_happy_world,ハイタッチ／＼びりーばーず☆,254.37,0.8750277757644653,0.6763,,1.142820954322815,
152,hello_happy_world,上海ハニー (Cover),178.23,0.8566883206367493,0.7553,,1.1672857999801636,
150,hello_happy_world,スマイリーキャロル,247.07,0.9377578496932983,0.3495,,1.0663732290267944,
151,hello_happy_world,えがお、み〜っけた！,270.2,0.8116688132286072,0.8891,,1.2320295572280884,
153,hello_happy_world,シル・ヴ・プレジデント (Cover),193.5,0.8190252780914307,0.8799,,1.220963478088379,
155,hello_happy_world,はいよろこんで (Cover),160.23,0.7676860690116882,0.9574,,1.302615761756897,
157,hello_happy_world,強風オールバック (Cover),135.1,0.7303003668785095,0.9833,,1.3692996501922607,
154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),251.1,0.9150065779685974,0.459,,1.092888355255127,
156,hello_happy_world,シカ色デイズ (Cover),202.17,0.8430787324905396,0.8146,,1.1861287355422974,
159,hello_happy_world,許婚っきゅん (Cover),177.47,0.7740309238433838,0.9483,,1.2919381856918335,
158,hello_happy_world,最高到達点 (Cover),226.67,0.8524552583694458,0.7766,,1.1730819940567017,
161,hello_happy_world,ドレミファロンド (Cover),200.63,0.8471007347106934,0.7933,,1.1804969310760498,
162,hello_happy_world,きゅうくらりん (Cover),214.83,0.8984750509262085,0.5441,,1.112997055053711,
160,hello_happy_world,新宝島 (Cover),251.2,0.7913293242454529,0.924,,1.263696312904358,
164,hello_happy_world,エイリアンエイリアン (Cover),183.13,0.8877496719360352,0.6094,,1.1264435052871704,
165,hello_happy_world,いーあるふぁんくらぶ (Cover),239.67,0.7561795115470886,0.9681,,1.3224372863769531,
163,hello_happy_world,ロメオ (Cover),320.2,0.8758959174156189,0.6702,,1.1416881084442139,
167,hello_happy_world,恋愛裁判 (Cover),223.13,0.8726832866668701,0.6854,,1.1458911895751953,
166,hello_happy_world,回レ！雪月花 (Cover),234.83,0.9008903503417969,0.5334,,1.1100130081176758,
171,hello_happy_world,ようこそジャパリパークへ (Cover),206.23,0.8972036242485046,0.5471,,1.1145743131637573,
169,hello_happy_world,GO! GO! MANIAC (Cover),249.1,0.8053185939788818,0.8997,,1.2417446374893188,
170,hello_happy_world,Dragon Night (Cover),228.73,0.9424669742584229,0.3267,,1.0610452890396118,
168,hello_happy_world,TOMORROW (Cover),274.9,0.7914238572120667,0.9225,,1.2635453939437866,
173,hello_happy_world,おジャ魔女カーニバル!! (Cover),217.37,0.7426971197128296,0.9772,,1.346444010734558,
174,hello_happy_world,ダーリンダンス (Cover),207.63,0.8193956017494202,0.8784,,1.220411777496338,
172,hello_happy_world,ウィーアー！ (Cover),241.13,0.6942476034164429,0.9909,,1.4404082298278809,
175,hello_happy_world,ノーポイッ！ (Cover),242.97,0.7669480443000793,0.9605,,1.303869366645813,
179,millsage,起死開戦,195.32,0.9103269577026367,0.4848,,1.0985063314437866,
178,ikka_dumb_rock,ホーミー・タイッ！！,215.43,0.8375324606895447,0.8343,,1.1939834356307983,
177,hello_happy_world,シルエット (Cover),241.03,0.8470578789710999,0.7948,,1.1805570125579834,
176,hello_happy_world,SHINY DAYS (Cover),262.6,0.7572503089904785,0.9635,,1.3205674886703491,
181,morfonica,メランコリックララバイ,216.07,0.8851528167724609,0.6216,,1.1297484636306763,
182,morfonica,flame of hope,252.94,0.8579367995262146,0.7492,,1.1655871868133545,
184,morfonica,カラフルリバティー,218.83,0.9352939128875732,0.3617,,1.0691825151443481,
183,morfonica,ブルームブルーム,276.9,0.9854989051818848,0.1611,,1.0147144794464111,
185,morfonica,fly with the night,240.67,0.946476936340332,0.3116,,1.0565496683120728,
180,morfonica,Daylight -デイライト-,357.29,0.8410171866416931,0.8191,,1.18903648853302,
187,morfonica,The Circle Of Butterflies,258.77,0.9531652331352234,0.2796,,1.0491360425949097,
186,morfonica,金色へのプレリュード,271.23,0.8989936709403992,0.541,,1.1123548746109009,
188,morfonica,ハーモニー・デイ,219.17,0.9745901823043823,0.196,,1.0260722637176514,
189,morfonica,Sweet Cheers!,224.33,0.8564791679382324,0.7568,,1.1675708293914795,
190,morfonica,"寄る辺のSunny, Sunny",215.97,0.8889527320861816,0.6018,,1.1249192953109741,
191,morfonica,誓いのWingbeat,255.0,0.9036737084388733,0.5167,,1.1065940856933594,
192,morfonica,Ever Sky Blue,241.13,0.9135128259658813,0.4666,,1.0946754217147827,
193,morfonica,Polyphonyscape,251.43,0.9446436166763306,0.3146,,1.0586004257202148,
194,morfonica,Wreath of Brave,263.23,1.0225661993026733,0.0881,,0.9779319167137146,
195,morfonica,Merry Merry Thanks!!,257.73,0.8952770233154297,0.5638,,1.116972804069519,
197,morfonica,両翼のBrilliance,239.8,0.9201274514198303,0.4422,,1.086806058883667,
198,morfonica,Steer to Utopia,216.27,0.9683844447135925,0.2234,,1.0326476097106934,
196,morfonica,Sonorous,313.27,0.9174978137016296,0.4529,,1.0899208784103394,
200,morfonica,ティリカモニカリラ,204.07,1.0926860570907593,0.0167,,0.9151759743690491,
201,morfonica,Secret Dawn,238.44,0.9388571381568909,0.3435,,1.0651248693466187,
199,morfonica,Fateful...,286.83,0.9730184078216553,0.2021,,1.0277295112609863,
202,morfonica,Angel's Ladder,253.4,0.8202900290489197,0.8769,,1.2190810441970825,
203,morfonica,One step at a time,263.74,0.9761801362037659,0.1915,,1.024401068687439,
204,morfonica,Tempest,252.2,1.0310821533203125,0.079,,0.9698547124862671,
206,morfonica,MUGEN Reverberate!,230.33,0.9512516856193542,0.2888,,1.0512465238571167,
205,morfonica,フレージング ミラージュ,263.63,1.0382682085037231,0.0684,,0.9631425142288208,
208,morfonica,esora no clover,193.87,0.9466827511787415,0.3085,,1.056320071220398,
207,morfonica,わたしまちがいさがし,273.01,0.9605093002319336,0.2553,,1.041114330291748,
209,morfonica,きょうもMerry go rounD,238.04,1.0061349868774414,0.1201,,0.993902325630188,
210,morfonica,Feathered Dreams,226.37,0.9001112580299377,0.538,,1.1109737157821655,
212,morfonica,ビューティ・フォー,189.33,0.9636576771736145,0.2432,,1.0377129316329956,
