idx,band,song,duration_sec,lufs_integrated,lra,st_median,st_p10,st_p90,st_std,mastering_flag,extract_sec,error
18,afterglow,Jamboree!Journey!,259.8,-11.205538538178534,2.809952735900879,-11.045948028564453,-13.111207962036133,-10.301255226135254,2.3857710361480713,0,1.18,
21,afterglow,極彩色,238.6,-10.871496597906875,2.1602306365966797,-10.844642639160156,-12.322134017944336,-10.161903381347656,5.360745429992676,0,1.02,
20,afterglow,独創収差,276.3,-8.709624522292605,10.931985855102539,-8.52090072631836,-18.12153434753418,-7.189548492431641,6.237142086029053,0,1.21,
22,afterglow,サクラゼンセン,249.33,-11.060568329293986,3.1908740997314453,-10.620019912719727,-13.166950225830078,-9.976076126098633,4.717440128326416,0,1.08,
19,afterglow,カナユメ,307.47,-10.747677623134377,3.2256174087524414,-10.688396453857422,-13.011073112487793,-9.785455703735352,4.004705905914307,0,1.38,
23,afterglow,True color,253.33,-9.980813018341072,2.603649139404297,-9.93159294128418,-11.571789741516113,-8.968140602111816,5.617249011993408,0,1.06,
25,afterglow,カサブタ,196.67,-10.448468653713425,2.463705062866211,-10.171627044677734,-12.198183059692383,-9.734477996826172,1.1236751079559326,0,0.85,
28,afterglow,トーキョーワンダー。,153.77,-10.409524739959682,3.7190752029418945,-10.115164756774902,-13.136017799377441,-9.416942596435547,5.577238082885742,0,0.66,
24,afterglow,Crow Song,244.2,-10.766799235576011,2.9791622161865234,-10.754067420959473,-12.51798152923584,-9.538819313049316,1.42222261428833,0,1.03,
29,afterglow,Reach Out To The Truth,171.47,-10.145127086939766,2.4117469787597656,-10.004999160766602,-11.830384254455566,-9.4186372756958,0.8259223699569702,0,0.72,
27,afterglow,Northern lights,209.1,-10.554252361033194,2.6065454483032227,-10.306978225708008,-12.263459205627441,-9.656913757324219,1.1812533140182495,0,0.85,
26,afterglow,アイのシナリオ,259.83,-11.372673452700758,3.273998260498047,-11.24895191192627,-13.46078109741211,-10.186782836914062,3.4613523483276367,0,1.06,
179,millsage,起死開戦,195.32,-9.835692190340193,2.866635322570801,-9.686347961425781,-11.599854469299316,-8.733219146728516,1.3499743938446045,0,1.58,
237,mugendai_mutype,アイの夢限,200.5,-10.846426913712486,7.2274932861328125,-10.874458312988281,-16.05908966064453,-8.831596374511719,6.04783296585083,0,1.6,
178,ikka_dumb_rock,ホーミー・タイッ！！,215.43,-8.723338585613183,2.0202932357788086,-8.674317359924316,-9.838922500610352,-7.818629264831543,1.1229817867279053,0,1.63,
260,mygo,迷星叫,211.37,-8.85930566065134,3.695164203643799,-8.586535453796387,-11.59472370147705,-7.899559497833252,4.311453342437744,0,1.64,
101,various_artists,Don't be afraid!,238.8,-11.303702340274976,2.8266687393188477,-11.190884590148926,-13.151074409484863,-10.324405670166016,4.526421546936035,0,1.73,
106,hello_happy_world,キミがいなくちゃっ！,243.77,-11.259269587468623,1.9557666778564453,-11.243684768676758,-12.44189453125,-10.486127853393555,2.7699549198150635,0,1.78,
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,272.43,-10.932498608223568,1.3180828094482422,-10.892595291137695,-11.62987995147705,-10.311797142028809,2.6870710849761963,0,1.84,
180,morfonica,Daylight -デイライト-,357.29,-10.313982618770622,1.5591144561767578,-10.21503734588623,-11.17186450958252,-9.612750053405762,0.9767268300056458,0,2.11,
301,pastel_palettes,TITLE IDOL,268.37,-10.970655230415415,2.9628705978393555,-10.843976974487305,-12.957977294921875,-9.99510669708252,4.300227165222168,0,0.81,
375,poppin_party,Yes! BanG_Dream!,309.97,-11.794556539352106,4.904937744140625,-11.799055099487305,-14.824156761169434,-9.919219017028809,2.7192397117614746,0,0.9,
32,afterglow,イマジネーション,177.97,-11.159949489699532,3.9953317642211914,-11.29399585723877,-13.729452133178711,-9.73412036895752,5.233871936798096,0,1.58,
34,afterglow,燦々,194.9,-10.744673081036142,2.1378326416015625,-10.46982479095459,-12.239633560180664,-10.101800918579102,1.2260183095932007,0,1.67,
