idx,band,song,url,video_id,key,camelot,tempo_excerpt,energy_proxy,mode_score,acousticness_proxy,instrumentalness_proxy,bpm,energy,shape,eligible_band,energy_full,i_mean,i_std,i_max,i_min,i_start,i_end,m3-mode,m4-lufs_integrated,m4-lra,m5-arousal_median,m6-valence_median,m7-danceability_norm,m8-acoustic_median,m9-instr_stem_ratio,m11-speech_median,display_band
24,afterglow,Crow Song (Cover),https://youtu.be/mpPPaC8vfsU,mpPPaC8vfsU,D#maj,5B,117.45384,-1.7565562021829209,0.02683,-2.148743207796908,1.6967275018429877,117.5,0.496,bright,True,0.715926,0.37076,0.73412,1.47031,-0.54410,0.81139,0.33691,major,-10.766799235576011,2.9791622161865234,6.98244571685791,6.0725,0.9726,1.1354499292792752e-05,0.773694,0.0448824800550937,
25,afterglow,カサブタ (Cover),https://youtu.be/-0QIHYtgwwQ,-0QIHYtgwwQ,Amaj,11B,117.45384,-1.319140728922962,0.10825,0.5027190626383037,-0.13413666106354458,112.3,0.595,acoustic,True,0.538285,0.05099,0.70174,1.12956,-0.74033,0.14308,0.33654,major,-10.448468653713425,2.463705062866211,7.652812957763672,6.4076,0.7644,5.092556239105761e-05,0.722319,0.065502144396305,
26,afterglow,アイのシナリオ (Cover),https://youtu.be/TFvTI-1uz7g,TFvTI-1uz7g,Dmaj,10B,117.45384,-1.1606804209515629,0.2523,-1.0117893278010848,0.09390849071473718,117.5,0.302,neutral,True,0.575038,0.12352,0.86470,1.52752,-0.99613,0.45157,0.28986,major,-11.372673452700758,3.273998260498047,7.085435390472412,5.98,0.2158,0.0006955084973014891,0.75986,0.0770693570375442,
27,afterglow,Northern lights (Cover),https://youtu.be/qrbkufy83yY,qrbkufy83yY,Amin,8A,135.99918,-0.4954845259130665,-0.27579,0.8329082775498129,-0.2676680829935186,136.0,0.639,neutral,True,0.282542,-0.12805,0.80057,1.06910,-1.08473,0.21067,-0.04039,minor,-10.554252361033194,2.6065454483032227,7.095794677734375,5.5132,0.731,0.00010414537973701954,0.755352,0.0718007311224937,
28,afterglow,トーキョーワンダー。 (Cover),https://youtu.be/4vNlqraef0E,4vNlqraef0E,Dmin,7A,135.99918,-1.6762506730113347,-9e-05,0.007822807931343823,0.29587871234782764,136.0,0.504,shimmer,True,0.251914,-0.25183,0.89332,1.13956,-1.62483,-0.73427,-0.38906,major,-10.409524739959682,3.7190752029418945,7.055652141571045,5.9526,0.6049,0.0003852018853649497,0.675927,0.0754400044679641,
29,afterglow,Reach Out To The Truth (Cover),https://youtu.be/ufMWpo-RKpQ,ufMWpo-RKpQ,Bmin,10A,112.34715,-2.2799985826844438,-0.12586,-0.4029896990065714,-1.5837891333728273,112.3,0.73,bright,True,0.570444,0.41807,0.80787,1.86202,-0.53989,0.64088,0.63764,minor,-10.145127086939766,2.4117469787597656,7.1968231201171875,5.9946,0.9878,1.4447996363742277e-05,0.836679,0.0886909663677215,
30,afterglow,Listen!! (Cover),https://youtu.be/VDWm77vSOR8,VDWm77vSOR8,Amaj,11B,117.45384,-1.0013672378114153,0.12429,-1.0389515064804649,0.21121410865605705,117.5,0.476,shimmer,True,0.571975,0.07733,0.81170,1.45554,-0.92371,0.08664,0.24143,major,-10.867349930247025,3.2308530807495117,7.204256534576416,6.0513,0.5517,0.00025426089996472,0.724387,0.0620610602200031,
31,afterglow,青い栞 (Cover),https://youtu.be/bzJW33heiqw,bzJW33heiqw,Bmaj,1B,129.19922,1.011815980748096,0.30375,2.8072523519225148,-2.619778307107553,129.2,0.134,acoustic,True,0.062021,-0.50725,0.93702,1.00131,-1.69074,-0.81122,-0.81810,major,-11.87947644343549,5.463316917419434,6.3585052490234375,5.5186,0.2143,0.19259974360466003,0.628103,0.0769842118024826,
32,afterglow,イマジネーション (Cover),https://youtu.be/PDtPDiaQOK8,PDtPDiaQOK8,G#min,1A,135.99918,-0.7284830360977171,-0.03484,-1.2584222280752984,0.07111660262172506,136.0,0.24,neutral,True,0.651608,0.14638,0.86352,1.60520,-0.91765,0.23421,0.42391,major,-11.159949489699532,3.9953317642211914,7.137579917907715,6.3372,0.3678,0.0008574113016948104,0.689159,0.1045858412981033,
33,afterglow,Butter-Fly (Cover),https://youtu.be/GlylV3xII5k,GlylV3xII5k,G#maj,4B,112.34715,-0.4468110562643336,0.05063,-0.776878300384048,0.38060645146367905,112.3,0.838,bright,True,0.666922,0.48023,0.67994,1.56089,-0.42950,0.64201,0.69437,major,-9.60994503188599,2.6741323471069336,6.9673662185668945,6.3708,0.2903,8.235607674578205e-05,0.748116,0.0450482480227947,
34,afterglow,燦々,https://youtu.be/WnTBaFVyDyM,WnTBaFVyDyM,Emaj,12B,99.38401,-0.4409794536649462,0.12273,0.38130162971915993,-1.1668427927460905,99.4,0.549,neutral,True,0.740429,0.34965,0.86748,1.92835,-0.95036,-0.17667,0.61237,major,-10.744673081036142,2.1378326416015625,6.6930832862854,5.6659,0.6353,2.7829826194647467e-06,0.759381,0.0556374192237854,
35,afterglow,That's why I'm here.,https://youtu.be/Q0l5OZb3Fr8,Q0l5OZb3Fr8,Bmaj,1B,123.04688,-0.7111783916322686,0.03619,-0.11644655018864891,0.2861558570394514,123.0,0.724,shimmer,True,0.253446,0.03909,0.76559,1.31804,-0.95309,0.19966,0.35689,major,-10.273894402834582,3.833123207092285,6.846534729003906,6.0183,0.503,0.001575361704453826,0.6122,0.0645667612552642,
36,afterglow,IGNITE GLOW,https://youtu.be/bU3kvmPZFBg,bU3kvmPZFBg,Emin,9A,129.19922,-0.955830711329763,-0.21799,-0.9770591674597712,1.7260854740403577,129.2,0.747,shimmer,True,0.271822,-0.05701,0.71450,1.00078,-1.03263,-0.22308,0.15940,minor,-10.165351548730614,2.4737625122070312,6.900792598724365,5.8365,0.4347,0.0019084932282567024,0.684178,0.0717904716730117,
37,afterglow,ペトリコール・オベーション,https://youtu.be/XUxFCXHCDkU,XUxFCXHCDkU,Fmaj,7B,123.04688,-0.5443755323189787,0.03052,0.2084125611155494,-0.674891568311879,123.0,0.728,shimmer,True,0.181470,-0.11508,0.67192,0.90224,-0.89295,-0.10814,0.05736,major,-10.274189730696653,2.982621192932129,7.153072357177734,6.1197,0.8556,0.0027806032449007034,0.660852,0.0681823343038559,
38,afterglow,Made My Day,https://youtu.be/YfS7jNzytUs,YfS7jNzytUs,Fmaj,7B,129.19922,0.49444084912576614,0.40367,1.7328617332416487,-1.088618002310517,129.2,0.909,neutral,True,0.100306,-0.02566,0.76963,1.29528,-0.88341,-0.08240,0.04576,major,-9.662747138901997,1.8701658248901367,6.833186149597168,5.7316,0.7523,0.001981110777705908,0.679684,0.0501341968774795,
39,afterglow,Glowing After,https://youtu.be/N-kz_Kbq6rU,N-kz_Kbq6rU,F#min,11A,99.38401,1.4863208188036925,-0.1154,0.16959565976056457,0.8757775825259891,99.4,0.778,shimmer,True,0.320827,0.25832,0.94201,2.10107,-0.94410,0.41085,0.51136,minor,-9.483970137900164,3.877474784851074,6.885965824127197,5.8709,0.3967,0.0005310917622409761,0.576187,0.0776608511805534,
