idx,band,song,duration_sec,cen_mean,cen_p90,roll_mean,roll_p90,bw_mean,bw_p90,flat_mean,flat_p90,contrast_mean,contrast_p90,zcr_mean,zcr_p90,perc_mean,perc_p90,perc_p95,onset_mean,onset_p90,onset_rate,rms_mean,rms_p90,extract_sec,error
6,afterglow,"Easy come, Easy go!",243.4,2489.275910167515,2998.823523605048,5080.30768193146,6438.427734375,2410.8580478328604,2821.8384869756865,0.038921058177948,0.05073104798793793,21.339721302000026,23.702961359309267,0.12622426637174472,0.166015625,0.25929561257362366,0.5710852146148682,0.680213451385498,1.1453382968902588,2.053304672241211,1.705012325390304,0.1743977963924408,0.23539941012859344,12.9,
4,afterglow,ツナグ、ソラモヨウ,248.93,2523.4815888074786,2992.005863262292,5088.280232083207,6190.7958984375,2390.4986243428484,2757.121013021813,0.036466795951128006,0.049737025052309036,21.711678880842793,24.31605154799268,0.13108094838692752,0.17236328125,0.26616132259368896,0.6161721348762512,0.7199861407279968,1.2006229162216187,2.389904022216797,3.535083020889127,0.16595256328582764,0.2262774258852005,13.22,
3,afterglow,I knew it!,291.3,2519.143448437525,2914.6317214163105,4868.052045036765,5835.498046875,2352.755064994264,2675.3604726429253,0.03863409534096718,0.05209095776081085,21.15560391793476,23.36277407034289,0.14008192040789894,0.1728515625,0.26059648394584656,0.5406403541564941,0.6278060078620911,1.1115062236785889,2.0249361991882324,1.1259869550291794,0.1761297732591629,0.22074857354164124,15.04,
8,afterglow,RED RED RED,224.37,2558.52987061295,3118.0215585139267,5175.790497176731,6804.4921875,2448.994249231697,2866.0083291533488,0.03982638195157051,0.057367607951164246,22.129350373634562,25.54065623757959,0.13623289423897858,0.17578125,0.2358369082212448,0.5469505190849304,0.6413029432296753,1.1169381141662598,1.964903712272644,2.232952013073837,0.14879387617111206,0.1918342262506485,8.4,
14,afterglow,SWITCH ON NOW,207.33,2752.7084519511754,3313.6153890168644,5866.471618447298,7009.0576171875,2637.9464309547766,2969.1878525845786,0.04749387875199318,0.06655801832675934,21.265907922399574,23.714699924383922,0.13753258853583428,0.185546875,0.2697601020336151,0.5721449255943298,0.6619572043418884,1.1751298904418945,2.096315860748291,1.490353697749196,0.1863979548215866,0.24793148040771484,7.68,
11,afterglow,Scarlet Sky,229.0,2784.9743726371835,3260.347252578856,5467.161942340534,6556.8603515625,2501.816835192578,2799.533239975399,0.04507296159863472,0.06442087888717651,21.945068186556,24.19757186144567,0.14859488072531177,0.20166015625,0.2555084228515625,0.5568491220474243,0.6375229954719543,1.1515047550201416,2.231079339981079,1.724890829694323,0.1904061734676361,0.24506454169750214,9.22,
13,afterglow,いつも通りのBrand new days,237.33,2536.551645339228,3032.480118251209,5144.963065072577,6330.76171875,2440.126884394678,2804.589005486213,0.03684975579380989,0.05091622844338417,21.585514809989856,24.069537067849204,0.13100984319971629,0.1806640625,0.311027854681015,0.6792005300521851,0.7679003477096558,1.2376561164855957,2.384662628173828,2.047752808988764,0.17407283186912537,0.24309490621089935,9.28,
12,afterglow,Off we go.,251.83,2364.451129934088,2950.3753132503934,4912.736960018382,6583.77685546875,2430.461458664846,2878.8088010463525,0.029320213943719864,0.04120669513940811,22.006241310341395,24.97151770240945,0.1086654029999539,0.1513671875,0.23774169385433197,0.5964343547821045,0.6963682770729065,1.1976094245910645,2.306952476501465,2.418266048974189,0.17154023051261902,0.23304401338100433,10.42,
10,afterglow,Y.O.L.O!!!!!,270.93,2945.8071547686877,3590.0124053024047,5886.9874804336005,7472.021484375,2623.67433607876,3008.060942794828,0.05846250429749489,0.09066944569349289,20.795839231056238,23.21666602153914,0.1643774621191833,0.224609375,0.3145354986190796,0.6386148929595947,0.7171472311019897,1.185890555381775,2.199528932571411,2.1038385826771653,0.16650624573230743,0.23284971714019775,11.25,
9,afterglow,ONE OF US,282.3,2712.0122638737184,3260.564143898204,5305.060937965871,6782.958984375,2454.5075914524846,2849.7549469400874,0.0447651669383049,0.07192284613847733,21.45837281572336,24.155591773004243,0.14946410349666886,0.19580078125,0.35209396481513977,0.7085531949996948,0.7806676030158997,1.2404288053512573,2.3604118824005127,3.0534891958908963,0.13227519392967224,0.18974745273590088,11.93,
15,afterglow,ランブリングメモリー,325.03,2568.9315859674493,3092.2541041751592,5010.612856973043,6761.42578125,2420.2238131428658,2877.5528150276064,0.0338447131216526,0.04702887684106827,22.713094881704965,25.65300344897758,0.13859496520956854,0.18505859375,0.22795294225215912,0.6432445645332336,0.8024524450302124,1.1242246627807617,2.165248155593872,1.7813557583837554,0.15508416295051575,0.2195492535829544,12.84,
17,afterglow,Trouble Joyful!!,237.93,2681.7062907758664,3224.449181656963,5492.85386786224,6793.7255859375,2531.781588204458,2884.595746582946,0.04026489332318306,0.05963314697146416,21.941813982021294,24.419152124348244,0.13621121768871378,0.18310546875,0.2560596168041229,0.5720796585083008,0.6755560040473938,1.1865065097808838,2.2891767024993896,3.47156066124965,0.17347873747348785,0.2320164442062378,8.46,
16,afterglow,COMIC PANIC!!!,280.5,2789.321566702428,3363.7474646393775,5495.861273804166,6858.3251953125,2514.7240902820704,2914.536293403307,0.0474594347178936,0.07038550823926926,21.07247852792105,23.489312973057288,0.1572566329618823,0.21142578125,0.3455255329608917,0.7299311757087708,0.8046437501907349,1.2633002996444702,2.573500394821167,2.128342245989305,0.17899435758590698,0.25107136368751526,10.62,
18,afterglow,Jamboree!Journey!,259.8,2603.2202389098206,3172.6490790301687,5365.643516197549,6879.8583984375,2496.517158831533,2904.0449202170944,0.03830957040190697,0.05584985762834549,21.62483419867581,24.174114106559795,0.1309145352019841,0.17431640625,0.2779781222343445,0.6447722911834717,0.7305101752281189,1.1628156900405884,2.2689082622528076,3.6143187066974596,0.15688689053058624,0.22230204939842224,9.9,
21,afterglow,極彩色,238.6,2698.074029057828,3360.7944193315116,5656.12558474008,7364.35546875,2597.567178199481,3018.604464160302,0.042114485055208206,0.06408433616161346,21.67626460750898,24.540428517678233,0.13403462862495133,0.1796875,0.2708278298377991,0.6083115935325623,0.6998276114463806,1.202908992767334,2.188075065612793,2.317686504610226,0.16194380819797516,0.22449931502342224,9.02,
22,afterglow,サクラゼンセン,249.33,2379.7135969814603,3000.1516134867106,5062.965808853488,6869.091796875,2534.7837695470384,2939.011913709841,0.02983752079308033,0.04209917038679123,21.81950362882134,24.52789545586674,0.10660046388992364,0.1474609375,0.24176132678985596,0.580521285533905,0.6921849250793457,1.1871925592422485,2.266462564468384,2.5227272727272725,0.1675603687763214,0.22990217804908752,9.62,
20,afterglow,独創収差,276.3,2431.8426644047304,2986.8584023341905,4817.433536305147,6287.6953125,2331.826744274711,2769.3479854247457,0.0357254222035408,0.05483780801296234,21.712719390606022,24.555232430111953,0.12353692062762606,0.169921875,0.22503776848316193,0.44382521510124207,0.5308884978294373,1.1250712871551514,1.8863167762756348,2.439377488237423,0.1948031336069107,0.26480934023857117,11.14,
19,afterglow,カナユメ,307.47,2245.1833873120854,2677.266233129772,4485.273358959065,5760.1318359375,2300.916392590912,2715.4237559949165,0.022977229207754135,0.02984326332807541,22.951345591684575,26.010856049637702,0.10792475822666515,0.1513671875,0.19321699440479279,0.5316629409790039,0.6682391166687012,1.1272701025009155,2.155977249145508,2.107545533391154,0.17064398527145386,0.2277674525976181,12.53,
23,afterglow,True color,253.33,2594.5989868326683,3172.9548704705876,5217.232045427207,6556.8603515625,2491.6189385733246,2830.389075677358,0.03476269543170929,0.04920833557844162,22.22700997984304,24.910473595987437,0.1259540973558794,0.1787109375,0.22240139544010162,0.5443079471588135,0.6490654945373535,1.1721223592758179,2.3633015155792236,3.189473684210526,0.18422828614711761,0.2391667664051056,9.58,
25,afterglow,カサブタ,196.67,2526.9324137004473,3006.5005630925234,4943.518792775051,6158.49609375,2355.3132645613478,2729.2159849278087,0.04232547804713249,0.05916200205683708,21.19140902731865,23.555170793622747,0.13692466979043683,0.17138671875,0.26634353399276733,0.5626563429832458,0.6630718111991882,1.1684085130691528,2.1069884300231934,2.0847457627118646,0.17075610160827637,0.22202996909618378,7.05,
