idx,band,song,i_mean,i_std,i_max,i_min,i_start,i_end
84,ave_mujica,Ave Mujica,-0.08040,1.37980,3.55398,-1.52865,-0.28195,3.55398
85,ave_mujica,Symbol I : △,0.39685,0.87388,1.99070,-0.96813,0.46034,-0.03934
86,ave_mujica,Symbol II : Air,0.57480,0.87484,2.00599,-0.64305,0.25347,0.39135
87,ave_mujica,Symbol III : ▽,-1.01715,1.08768,0.90169,-2.63037,-1.92357,-0.86458
88,ave_mujica,Symbol IV : Earth,0.10667,1.02484,2.03792,-1.33673,-0.55751,-0.37637
89,ave_mujica,Ether,0.13724,1.12323,1.94627,-2.11082,-0.89620,-1.82894
90,ave_mujica,The Whole Blue World,-0.04743,0.86820,1.45669,-1.39330,0.13433,-0.05789
91,ave_mujica,in your blue eyes,-0.44546,1.04511,1.14521,-2.30431,-1.06043,-1.29679
92,ave_mujica,素晴らしき世界 でも どこにもない場所,-0.14313,0.95256,1.52865,-1.46858,-1.18317,-0.45670
93,ave_mujica,Angles,-0.49968,1.19372,1.62144,-2.23628,-1.74411,-2.20361
94,ave_mujica,DIVINE,0.30965,0.94315,2.11050,-1.09132,0.42747,0.11783
95,ave_mujica,Sophie,-0.04219,0.72615,1.26700,-1.02787,0.01315,-0.30376
96,ave_mujica,‘S/’ The Way,0.30604,0.86186,1.74587,-0.65693,0.37206,0.36842
97,ave_mujica,碧い瞳の中に,-0.57760,1.04186,1.16199,-2.32128,-1.21845,-0.80153
98,ave_mujica,堕天 (Cover),0.35185,0.97163,1.99984,-1.17316,0.44568,0.50882
99,ave_mujica,KINGS (Cover),0.10522,0.84146,1.55100,-1.04049,0.25296,-0.18914
100,ave_mujica,暗黒天国 (Cover),0.06503,0.80274,1.50936,-0.98894,-0.07638,0.02412
101,various_artists,Don't be afraid!,-0.10351,0.82070,1.20189,-1.21824,-0.22233,-0.25831
102,various_artists,Glee! Glee! Glee!,0.02070,0.86735,1.39825,-1.07728,-0.09929,0.19040
103,various_artists,"Be shine, shining!",0.19981,1.15427,2.23134,-1.58913,-0.09591,0.21689
104,various_artists,"Here, the world",0.37138,1.09408,2.37409,-1.08498,0.38899,0.35641
105,various_artists,CiRCLE THANKS MUSiC♪,0.16899,0.75841,1.41427,-0.79928,0.07462,0.42833
106,hello_happy_world,キミがいなくちゃっ！,-0.04576,0.84686,1.39609,-1.07529,-0.71785,0.46268
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,0.54733,0.85440,2.00043,-0.59982,0.69231,0.97225
108,hello_happy_world,スマイルブーケで た〜まや〜！,-0.01333,0.83598,1.30254,-1.24639,-0.02304,-0.30349
109,hello_happy_world,えがお･シング･あ･ソング,0.42109,0.90013,1.93763,-0.98558,-0.25106,1.04142
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,0.21240,0.84097,1.73333,-0.92071,0.21978,0.13458
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,0.51458,0.76888,1.70594,-0.58266,0.62720,0.71225
112,hello_happy_world,ないすみちゅっ！,0.29342,0.82516,1.68929,-0.79567,0.25234,0.76717
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,0.24042,0.73064,1.31957,-0.80277,0.24585,-0.02298
114,hello_happy_world,うぃーきゃん☆フレフレっ！,0.19015,0.82795,1.52580,-0.92675,0.13819,0.35876
115,hello_happy_world,えがおのオーケストラっ！,-0.12053,0.95918,1.44876,-1.52772,-0.27184,-0.63681
116,hello_happy_world,にこにこねくと！,-0.15206,0.86452,1.23876,-1.26038,-0.53211,0.10902
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,0.05612,0.79943,1.45190,-1.13426,-0.21871,0.07369
118,hello_happy_world,せかいのっびのびトレジャー！,0.19305,0.89601,1.71271,-1.04153,0.35450,0.60713
119,hello_happy_world,きらっ☆と キミフェス！,0.39019,1.00999,2.29228,-1.02519,0.29087,0.55730
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,0.25364,0.79658,1.68316,-0.88325,-0.13726,0.55327
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,0.36706,0.82925,1.72921,-0.84825,0.24945,0.23523
122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,-0.11319,0.90297,1.51437,-1.39252,-0.03523,0.04441
123,hello_happy_world,Happy! Happier! Happiest!,0.22591,0.78988,1.56448,-0.80553,0.36514,0.18106
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,0.25072,0.86458,1.76989,-0.95771,0.56804,0.27144
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,0.24412,1.02233,2.00981,-1.29761,0.28832,-0.25580
126,hello_happy_world,おもいでイルミネーション,0.62692,0.73196,1.90281,-0.36271,0.47881,0.80828
127,hello_happy_world,おもいやりハーモニー,-0.01715,0.85797,1.58575,-1.08531,-0.19685,0.23734
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,0.36389,0.77707,1.57540,-0.76152,-0.00346,0.59950
129,hello_happy_world,えがお、あーゆーれでぃ???,0.40573,0.85438,1.89824,-0.93626,0.17139,0.43569
130,hello_happy_world,ハッピーサマーウェディング,0.31567,0.84977,1.77380,-0.87452,0.26167,0.50849
131,hello_happy_world,ひまわりの約束,-0.42453,0.85803,1.08587,-1.57296,-0.59171,-0.53872
132,hello_happy_world,ハッピー☆マテリアル,0.55694,0.84410,2.05072,-0.69562,0.66442,0.99291
133,hello_happy_world,太陽曰く燃えよカオス,0.31466,1.06240,1.94123,-1.50739,0.24219,-0.47395
134,hello_happy_world,エクストラ・マジック・アワー,0.19151,0.82115,1.52137,-1.02451,-0.02818,0.20099
135,hello_happy_world,コレカラ,0.41165,0.80569,1.78152,-0.73875,0.54080,0.94528
136,hello_happy_world,全力少年,0.12642,0.87674,1.44478,-1.31701,-1.08858,0.74685
137,hello_happy_world,オレンジ,0.11574,0.96471,1.81869,-1.24828,0.07487,0.44976
138,hello_happy_world,Happy Girl,0.41982,0.96915,1.99574,-1.17398,-0.75458,1.00326
139,hello_happy_world,ン・パカマーチ,0.15003,1.05515,2.22183,-1.26418,0.03762,0.73507
140,hello_happy_world,サンバロハッピ〜！,0.12357,0.85754,1.59632,-1.00962,0.15112,0.37649
141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,0.25406,0.84697,1.76524,-0.93431,0.61420,0.86664
142,hello_happy_world,むすんでわらって,0.43050,0.91783,1.93808,-0.97974,0.37558,0.61620
143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,0.35944,0.87326,1.62687,-0.90358,0.27209,0.24814
144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,0.10739,0.72450,1.21702,-0.78615,-0.05378,0.38001
145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,0.20086,0.75660,1.25089,-1.01866,-0.15790,0.21701
146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,0.45514,0.80239,1.85941,-0.63085,0.74141,0.65854
147,hello_happy_world,とーくとぅみー・とーくとぅゆー,0.49699,0.69943,1.63162,-0.49413,0.33641,0.65220
148,hello_happy_world,ハイタッチ／＼びりーばーず☆,0.29293,0.80897,1.70856,-0.81388,0.11042,0.23134
149,hello_happy_world,Listen to Smile!,-0.04063,0.85252,1.38219,-1.25847,-0.90630,0.24746
150,hello_happy_world,スマイリーキャロル,0.24955,0.80499,1.69776,-0.83009,0.10115,0.73403
151,hello_happy_world,えがお、み〜っけた！,-0.13638,0.87455,1.29269,-1.44014,-0.21764,-0.07898
