tag,idx,band,song,intensity,intensity_pct,brightness_pct,tempo_pct,shape
poppin_party__394,394,poppin_party,Yes! BanG_Dream! ～Popipa Acoustic Ver.～,0.37474549923431316,0.2367624810892587,0.7844175491679274,0.2503782148260212,shimmer
poppin_party__395,395,poppin_party,夏空 SUN! SUN! SEVEN! ～Popipa Acoustic Ver.～,0.6326534693652613,0.6089258698940998,0.850983358547655,0.9712556732223904,shimmer
poppin_party__396,396,poppin_party,STAR BEAT!～ホシノコドウ～ ～Popipa Acoustic Ver.～,0.3746446883977489,0.23222390317700453,0.3804841149773071,0.007564296520423601,acoustic
poppin_party__397,397,poppin_party,Breakthrough!,0.6496253406502045,0.6391830559757943,0.6482602118003026,0.5052950075642966,neutral
poppin_party__398,398,poppin_party,NO GIRL NO CRY/Poppin'Party Ver.,0.5879850091050213,0.5340393343419062,0.7609682299546142,0.6505295007564297,bright
poppin_party__399,399,poppin_party,イニシャル,0.5773449667944913,0.5136157337367625,0.5015128593040847,0.6505295007564297,neutral
poppin_party__400,400,poppin_party,Hello! Wink!,0.821340564247602,0.867624810892587,0.09909228441754916,0.9258698940998488,neutral
poppin_party__401,401,poppin_party,Step×Step!,0.2564692858138171,0.10968229954614221,0.7360060514372163,0.8585476550680786,acoustic
poppin_party__402,402,poppin_party,Jumpin',0.3582632727679121,0.2065052950075643,0.6437216338880484,0.094553706505295,neutral
poppin_party__403,403,poppin_party,White Afternoon,0.14613870384788746,0.0340393343419062,0.7586989409984871,0.8585476550680786,acoustic
poppin_party__404,404,poppin_party,キラキラスター！,0.30950546700863996,0.16414523449319213,0.5665658093797277,0.9258698940998488,acoustic
poppin_party__405,405,poppin_party,Returns,0.14512516167284945,0.03252647503782148,0.49319213313161875,0.02118003025718608,acoustic
poppin_party__406,406,poppin_party,Dreamers Go!,0.31336121951789253,0.16717095310136157,0.49546142208774585,0.5052950075642966,neutral
poppin_party__407,407,poppin_party,キズナミュージック♪,0.17828959762350943,0.058245083207261725,0.3517397881996974,0.046142208774583963,acoustic
poppin_party__408,408,poppin_party,ミライトレイン,0.3048125031158094,0.15960665658093798,0.9341906202723147,0.3668683812405446,acoustic
poppin_party__409,409,poppin_party,夢を撃ち抜く瞬間に！,0.29747081223851984,0.15052950075642965,0.8040847201210287,0.14296520423600606,acoustic
poppin_party__410,410,poppin_party,ぽっぴん'しゃっふる,0.6234021765452767,0.5922844175491679,0.74357034795764,0.2503782148260212,neutral
poppin_party__411,411,poppin_party,夏空 SUN! SUN! SEVEN!,0.6348064083008662,0.613464447806354,0.9523449319213313,0.007564296520423601,neutral
poppin_party__412,412,poppin_party,1000回潤んだ空,0.23479317824761067,0.08850226928895613,0.7556732223903178,0.5052950075642966,acoustic
poppin_party__413,413,poppin_party,HAPPY HAPPY PARTY!,0.3830571526817432,0.245839636913767,0.6603630862329803,0.7708018154311649,shimmer
poppin_party__414,414,poppin_party,夏のドーン！,0.942734822599141,0.9765506807866868,0.36838124054462934,0.1800302571860817,bright
poppin_party__415,415,poppin_party,キミにもらったもの,0.04146362127713586,0.00680786686838124,0.8585476550680786,0.8585476550680786,acoustic
poppin_party__416,416,poppin_party,Light Delight,0.11976477413208234,0.02193645990922844,0.7012102874432677,0.3668683812405446,acoustic
poppin_party__417,417,poppin_party,切ないSandglass,0.15658292754239095,0.0416036308623298,0.9175491679273827,0.02118003025718608,neutral
poppin_party__418,418,poppin_party,Home Street,0.5305700594107866,0.4455370650529501,0.8933434190620272,0.14296520423600606,neutral
poppin_party__419,419,poppin_party,What's the POPIPA!?,0.8375534370299925,0.8857791225416036,0.7965204236006052,0.5052950075642966,bright
poppin_party__420,420,poppin_party,SAKURA MEMORIES,0.4110895152826306,0.2806354009077156,0.8494704992435703,0.3668683812405446,acoustic
poppin_party__421,421,poppin_party,アニバーサリー,0.49327065244442087,0.3925869894099849,0.7042360060514372,0.2503782148260212,neutral
poppin_party__422,422,poppin_party,Tomorrow's Door,0.2491610978664053,0.10060514372163389,0.7254160363086233,0.3668683812405446,acoustic
poppin_party__423,423,poppin_party,イントロダクション,0.5008235214036358,0.4031770045385779,0.037065052950075644,0.2503782148260212,neutral
poppin_party__424,424,poppin_party,TARINAI,0.7069020650318744,0.7284417549167927,0.2534039334341906,0.6505295007564297,neutral
poppin_party__425,425,poppin_party,DOKI DOKI SCARY,0.606887494034048,0.5680786686838124,0.10665658093797277,0.8585476550680786,neutral
