idx,band,song,duration_sec,speech_median,speech_p10,speech_p90,speech_std,n_frames,error,vad_speech_ratio,vad_n_frames,vad_error
223,morfonica,祝福 (Cover),,,,,,,no_stem,,,
224,morfonica,Overdose (Cover),,,,,,,no_stem,,,
225,morfonica,かくれんぼ (Cover),,,,,,,no_stem,,,
226,morfonica,chAngE (Cover),,,,,,,no_stem,,,
227,morfonica,ALIVE (Cover),,,,,,,no_stem,,,
228,morfonica,Nameless Story (Cover),,,,,,,no_stem,,,
229,morfonica,青空のラプソディ (Cover),,,,,,,no_stem,,,
230,morfonica,Nevereverland (Cover),,,,,,,no_stem,,,
231,morfonica,メリッサ (Cover),,,,,,,no_stem,,,
232,morfonica,COLORFUL BOX (Cover),,,,,,,no_stem,,,
233,morfonica,unravel (Cover),,,,,,,no_stem,,,
234,morfonica,アゲハ蝶 (Cover),,,,,,,no_stem,,,
235,morfonica,V.I.P (Cover),,,,,,,no_stem,,,
236,morfonica,CQCQ (Cover),,,,,,,no_stem,,,
237,mugendai_mutype,アイの夢限,200.5,0.08643926680088043,0.011259124614298344,0.33063721656799316,0.12993036210536957,400,,,,
238,mugendai_mutype,どんがらがっしゃん,196.53333333333333,0.09745334088802338,0.0144138028845191,0.2644352614879608,0.10062727332115173,392,,,,
239,mugendai_mutype,みゅーたんとミュータント,220.26666666666668,0.13288794457912445,0.0276959091424942,0.30038365721702576,0.10259691625833511,439,,,,
240,mugendai_mutype,チューニング,,,,,,,no_stem,,,
241,mugendai_mutype,Dream Voyage,,,,,,,no_stem,,,
242,mugendai_mutype,グラディエント,,,,,,,no_stem,,,
243,mugendai_mutype,LET'Sあちあちトレーニング！,,,,,,,no_stem,,,
244,mugendai_mutype,真夜中遊園地,,,,,,,no_stem,,,
245,mugendai_mutype,テレパシー,,,,,,,no_stem,,,
246,mugendai_mutype,TRASH LIFE,,,,,,,no_stem,,,
247,mugendai_mutype,新人類は仮想世界の夢を見るか?,,,,,,,no_stem,,,
248,mugendai_mutype,コミュ着火Fire!,,,,,,,no_stem,,,
249,mugendai_mutype,Calling,,,,,,,no_stem,,,
250,mugendai_mutype,Hi-Vision,,,,,,,no_stem,,,
251,mugendai_mutype,コハク,,,,,,,no_stem,,,
252,mugendai_mutype,✞animaるパーティ✞開催中✞,,,,,,,no_stem,,,
253,mugendai_mutype,エンプティパペット,,,,,,,no_stem,,,
254,mugendai_mutype,限界現実サバイブ天使,,,,,,,no_stem,,,
255,mugendai_mutype,ビッグマウス,,,,,,,no_stem,,,
