idx,band,song,m1-duration_sec,m1-bpm_madmom,m1-beat_count,expected_beat_count,diff_beat_count,abs_diff_beat_count
155,hello_happy_world,はいよろこんで (Cover),159.93,146.34146341463537,395.0,390.0731707317106,4.926829268289396,4.926829268289396
156,hello_happy_world,シカ色デイズ (Cover),201.9,181.81818181818275,616.0,611.818181818185,4.181818181814947,4.181818181814947
157,hello_happy_world,強風オールバック (Cover),134.65,136.36363636363487,303.0,306.02272727272396,-3.022727272723955,3.022727272723955
158,hello_happy_world,最高到達点 (Cover),226.31,133.33333333332828,498.0,502.9111111110921,-4.9111111110921115,4.9111111110921115
159,hello_happy_world,許婚っきゅん (Cover),176.99,146.34146341463537,433.0,431.68292682927193,1.3170731707280652,1.3170731707280652
160,hello_happy_world,新宝島 (Cover),250.9,157.89473684210716,662.0,660.2631578947447,1.7368421052552776,1.7368421052552776
161,hello_happy_world,ドレミファロンド (Cover),200.16,124.99999999999989,418.0,416.99999999999966,1.000000000000341,1.000000000000341
162,hello_happy_world,きゅうくらりん (Cover),214.55,222.2222222222138,786.0,794.6296296295994,-8.629629629599435,8.629629629599435
163,hello_happy_world,ロメオ (Cover),319.73,139.534883720928,746.0,743.558139534872,2.441860465128002,2.441860465128002
164,hello_happy_world,エイリアンエイリアン (Cover),182.83,153.846153846148,466.0,468.79487179485403,-2.794871794854032,2.794871794854032
165,hello_happy_world,いーあるふぁんくらぶ (Cover),239.2,146.34146341463284,576.0,583.4146341463362,-7.414634146336198,7.414634146336198
166,hello_happy_world,回レ！雪月花 (Cover),234.54,157.89473684210716,627.0,617.2105263157969,9.78947368420313,9.78947368420313
167,hello_happy_world,恋愛裁判 (Cover),222.69,133.3333333333346,498.0,494.86666666667134,3.1333333333286646,3.1333333333286646
168,hello_happy_world,TOMORROW (Cover),274.43,133.3333333333367,613.0,609.8444444444598,3.155555555540218,3.155555555540218
169,hello_happy_world,GO! GO! MANIAC (Cover),248.63,124.99999999999989,519.0,517.9791666666662,1.020833333333826,1.020833333333826
170,hello_happy_world,Dragon Night (Cover),228.38,124.99999999999896,473.0,475.7916666666627,-2.7916666666627066,2.7916666666627066
171,hello_happy_world,ようこそジャパリパークへ (Cover),205.94,171.4285714285707,587.0,588.3999999999975,-1.3999999999974762,1.3999999999974762
172,hello_happy_world,ウィーアー！ (Cover),240.84,166.66666666666694,675.0,669.0000000000011,5.999999999998863,5.999999999998863
173,hello_happy_world,おジャ魔女カーニバル!! (Cover),217.01,146.34146341463537,536.0,529.2926829268337,6.707317073166337,6.707317073166337
174,hello_happy_world,ダーリンダンス (Cover),207.17,153.8461538461536,527.0,531.2051282051274,-4.20512820512738,4.20512820512738
175,hello_happy_world,ノーポイッ！ (Cover),242.76,157.89473684210716,643.0,638.8421052631655,4.157894736834464,4.157894736834464
176,hello_happy_world,SHINY DAYS (Cover),262.05,109.09090909091248,481.0,476.4545454545603,4.545454545439725,4.545454545439725
177,hello_happy_world,シルエット (Cover),240.74,181.81818181818275,735.0,729.5151515151553,5.484848484844747,5.484848484844747
178,ikka_dumb_rock,ホーミー・タイッ！！,215.03,127.6595744680854,459.0,457.5106382978734,1.4893617021265868,1.4893617021265868
179,millsage,起死開戦,195.05,171.4285714285707,554.0,557.285714285712,-3.285714285711947,3.285714285711947
180,morfonica,Daylight -デイライト-,357.01,187.49999999998727,1095.0,1115.656249999924,-20.656249999924057,20.656249999924057
181,morfonica,メランコリックララバイ,215.91,181.81818181818275,652.0,654.2727272727305,-2.272727272730549,2.272727272730549
182,morfonica,flame of hope,252.8,187.500000000004,801.0,790.0000000000169,10.99999999998306,10.99999999998306
183,morfonica,ブルームブルーム,276.71,181.8181818181749,832.0,838.5151515151196,-6.515151515119555,6.515151515119555
184,morfonica,カラフルリバティー,218.55,187.49999999999568,675.0,682.9687499999843,-7.968749999984311,7.968749999984311
185,morfonica,fly with the night,240.48,171.4285714285707,684.0,687.0857142857113,-3.085714285711333,3.085714285711333
186,morfonica,金色へのプレリュード,270.97,176.47058823529235,792.0,796.9705882352863,-4.9705882352863,4.9705882352863
187,morfonica,The Circle Of Butterflies,258.46,176.47058823529235,751.0,760.1764705882276,-9.17647058822763,9.17647058822763
188,morfonica,ハーモニー・デイ,218.88,181.81818181818275,666.0,663.2727272727305,2.727272727269451,2.727272727269451
189,morfonica,Sweet Cheers!,223.75,109.09090909091248,410.0,406.81818181819443,3.1818181818055677,3.1818181818055677
190,morfonica,"寄る辺のSunny, Sunny",215.73,181.8181818181906,662.0,653.7272727273042,8.27272727269576,8.27272727269576
191,morfonica,誓いのWingbeat,254.71,206.89655172413347,851.0,878.3103448275673,-27.31034482756729,27.31034482756729
192,morfonica,Ever Sky Blue,240.93,193.5483870967728,648.0,777.1935483870913,-129.19354838709125,129.19354838709125
193,morfonica,Polyphonyscape,250.98,153.8461538461536,637.0,643.5384615384605,-6.538461538460524,6.538461538460524
194,morfonica,Wreath of Brave,262.9,136.36363636363265,592.0,597.4999999999836,-5.499999999983629,5.499999999983629
195,morfonica,Merry Merry Thanks!!,257.26,146.34146341463028,614.0,627.4634146341298,-13.463414634129776,13.463414634129776
196,morfonica,Sonorous,312.79,133.33333333332828,688.0,695.0888888888626,-7.088888888862584,7.088888888862584
197,morfonica,両翼のBrilliance,239.61,171.4285714285742,688.0,684.6000000000112,3.399999999988836,3.399999999988836
198,morfonica,Steer to Utopia,216.26,193.5483870967728,703.0,697.6129032258015,5.38709677419854,5.38709677419854
199,morfonica,Fateful...,286.83,133.33333333332828,631.0,637.3999999999759,-6.399999999975876,6.399999999975876
200,morfonica,ティリカモニカリラ,203.62,139.53488372093034,471.0,473.53488372093057,-2.5348837209305657,2.5348837209305657
201,morfonica,Secret Dawn,238.15,130.4347826086954,512.0,517.7173913043468,-5.717391304346847,5.717391304346847
202,morfonica,Angel's Ladder,253.17,199.9999999999924,836.0,843.899999999968,-7.899999999968031,7.899999999968031
203,morfonica,One step at a time,263.13,176.47058823529235,711.0,773.9117647058746,-62.91176470587459,62.91176470587459
204,morfonica,Tempest,251.9,200.0000000000019,847.0,839.6666666666747,7.3333333333252995,7.3333333333252995
