idx,official_bpm,ratio,octave_class,m1-bpm_madmom,m1-tempo_category,official_category,category_flipped
202,198.0,1.0101010101009718,,199.9999999999924,fast,fast,False
203,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
204,202.0,0.9900990099009996,,200.0000000000019,fast,fast,False
210,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
211,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
212,198.0,1.0101010101009718,,199.9999999999924,fast,fast,False
213,200.0,0.5000000000000003,half(0.5x),100.00000000000006,medium,fast,True
214,194.0,0.9976720984369732,,193.5483870967728,fast,fast,False
215,195.0,0.9925558312655016,,193.5483870967728,fast,fast,False
216,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
217,185.0,0.9828009828010302,,181.8181818181906,fast,fast,False
218,192.0,1.0080645161290251,,193.5483870967728,fast,fast,False
219,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
220,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
221,128.0,0.9973404255319172,,127.6595744680854,medium,medium,False
222,145.0,1.009251471825054,,146.34146341463284,medium,medium,False
223,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
224,118.0,0.9970089730807616,,117.64705882352987,medium,medium,False
225,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
226,165.0,1.0101010101009718,,166.66666666666035,fast,fast,False
227,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
228,195.0,0.9925558312655016,,193.5483870967728,fast,fast,False
229,135.0,1.010101010101003,,136.3636363636354,medium,medium,False
230,206.5,0.9685230024213168,,200.0000000000019,fast,fast,False
231,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
232,161.0,1.007218398522734,,162.16216216216017,fast,fast,False
233,135.0,1.0101010101009502,,136.36363636362827,medium,medium,False
234,116.0,0.9946949602122094,,115.38461538461628,medium,medium,False
235,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
236,144.0,0.9920634920635216,,142.85714285714712,medium,medium,False
260,190.0,0.986842105263179,,187.500000000004,fast,fast,False
261,204.0,0.9803921568627544,,200.0000000000019,fast,fast,False
262,192.0,1.0080645161290251,,193.5483870967728,fast,fast,False
263,166.0,1.0040160642570295,,166.66666666666694,fast,fast,False
264,222.0,1.0010010010010026,,222.22222222222257,boost,boost,False
265,135.0,1.010101010100999,,136.36363636363487,medium,medium,False
266,200.0,0.9999999999999976,,199.99999999999952,fast,fast,False
267,97.0,1.9953441968739465,double(2x),193.5483870967728,fast,medium,True
268,190.0,0.986842105263157,,187.49999999999983,fast,fast,False
269,260.0,0.5128205128204933,half(0.5x),133.33333333332828,medium,boost,True
270,120.0,1.0,,120.0,medium,medium,False
271,190.0,0.986842105263179,,187.500000000004,fast,fast,False
272,88.0,1.002673796791434,,88.23529411764618,slow,slow,False
273,130.0,1.0033444816053336,,130.43478260869338,medium,medium,False
277,181.0,1.004520341536878,,181.8181818181749,fast,fast,False
278,191.0,1.0133423408208,,193.5483870967728,fast,fast,False
279,154.0,0.9990009990009976,,153.8461538461536,medium,medium,False
281,85.0,1.9607843137255707,double(2x),166.6666666666735,fast,slow,True
284,190.0,0.986842105263179,,187.500000000004,fast,fast,False
285,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
288,88.0,1.002673796791434,,88.23529411764618,slow,slow,False
290,182.0,0.999000999001004,,181.81818181818275,fast,fast,False
291,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
292,145.0,1.0092514718250016,,146.34146341462522,medium,medium,False
293,175.0,0.9795918367347096,,171.4285714285742,fast,fast,False
294,171.0,1.0025062656641666,,171.42857142857247,fast,fast,False
295,187.0,1.002673796791443,,187.49999999999983,fast,fast,False
297,148.0,0.9887936717205092,,146.34146341463537,medium,medium,False
298,195.0,0.9925558312655016,,193.5483870967728,fast,fast,False
299,156.0,1.0121457489878285,,157.89473684210125,medium,medium,False
300,97.0,1.9329896907216049,double(2x),187.49999999999568,fast,medium,True
301,145.0,1.009251471825054,,146.34146341463284,medium,medium,False
302,137.0,0.9953550099535552,,136.36363636363706,medium,medium,False
303,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
304,169.0,1.01437024513941,,171.4285714285603,fast,fast,False
305,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
306,153.0,1.0055304172951216,,153.8461538461536,medium,medium,False
307,176.0,1.002673796791434,,176.47058823529235,fast,fast,False
308,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
309,183.0,0.9935419771485396,,181.81818181818275,fast,fast,False
310,100.0,1.0000000000000098,,100.00000000000097,medium,medium,False
311,135.0,1.010101010100999,,136.36363636363487,medium,medium,False
312,166.0,1.0040160642570295,,166.66666666666694,fast,fast,False
313,174.0,1.0141987829614505,,176.47058823529235,fast,fast,False
314,200.0,1.0,,200.0,fast,fast,False
315,137.0,0.9953550099535552,,136.36363636363706,medium,medium,False
316,177.0,0.9970089730807478,,176.47058823529235,fast,fast,False
317,170.0,1.008403361344539,,171.42857142857162,fast,fast,False
318,167.0,0.9980039920159696,,166.66666666666694,fast,fast,False
319,163.0,0.9948598905654096,,162.16216216216174,fast,fast,False
320,170.0,1.0084033613445336,,171.4285714285707,fast,fast,False
321,171.0,1.0025062656641766,,171.4285714285742,fast,fast,False
322,190.0,0.986842105263179,,187.500000000004,fast,fast,False
323,146.0,1.0023387905112011,,146.34146341463537,medium,medium,False
324,95.0,1.0025062656641677,,95.23809523809592,medium,medium,False
325,170.0,1.0084033613445376,,171.4285714285714,fast,fast,False
326,170.0,1.008403361344539,,171.42857142857156,fast,fast,False
327,172.0,0.9966777408638036,,171.4285714285742,fast,fast,False
328,180.0,1.0101010101010106,,181.8181818181819,fast,fast,False
329,152.0,1.0121457489878158,,153.846153846148,medium,medium,False
330,143.0,0.9990009990009948,,142.85714285714226,medium,medium,False
331,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
332,165.0,1.0101010101009718,,166.66666666666035,fast,fast,False
333,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
334,184.0,0.9881422924901664,,181.8181818181906,fast,fast,False
335,178.0,0.9914077990746866,,176.4705882352942,fast,fast,False
336,185.0,1.01351351351349,,187.49999999999568,fast,fast,False
337,130.0,1.0033444816053336,,130.43478260869338,medium,medium,False
338,188.0,0.997340425531925,,187.5000000000019,fast,fast,False
339,136.0,1.002673796791449,,136.36363636363706,medium,medium,False
340,187.0,0.5013368983957215,half(0.5x),93.74999999999991,medium,fast,True
341,145.0,1.009251471825054,,146.34146341463284,medium,medium,False
342,140.0,0.996677740863788,,139.53488372093034,medium,medium,False
343,138.0,1.011122345803826,,139.534883720928,medium,medium,False
344,210.0,0.5012531328320823,half(0.5x),105.26315789473728,medium,boost,True
345,75.0,1.999999999999972,double(2x),149.99999999999787,medium,slow,True
346,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
347,120.0,1.0,,120.0,medium,medium,False
348,180.0,1.0101010101009718,,181.8181818181749,fast,fast,False
349,175.0,1.0084033613445278,,176.47058823529235,fast,fast,False
350,141.0,0.9896091044038102,,139.53488372093724,medium,medium,False
351,168.0,0.9920634920634936,,166.66666666666694,fast,fast,False
352,154.0,0.9990009990009976,,153.8461538461536,medium,medium,False
353,150.0,0.9999999999999858,,149.99999999999787,medium,medium,False
