variant,query_id,trial,category,parse_success,shape_match,peak_position_match,magnitude_sanity,query_score
candidate_AB,E2,3,E,True,1.0,,1.0,1.0
candidate_AB,E2,4,E,True,1.0,,1.0,1.0
candidate_AB,F1,0,F,True,1.0,,0.0,0.5
candidate_AB,F1,1,F,True,1.0,,0.0,0.5
candidate_AB,F1,2,F,True,1.0,,0.0,0.5
candidate_AB,F1,3,F,True,1.0,,0.0,0.5
candidate_AB,F1,4,F,True,1.0,,1.0,1.0
candidate_AB,F2,0,F,True,1.0,,0.0,0.5
candidate_AB,F2,1,F,True,0.0,,0.0,0.0
candidate_AB,F2,2,F,True,0.0,,0.0,0.0
candidate_AB,F2,3,F,True,0.0,,0.0,0.0
candidate_AB,F2,4,F,True,0.0,,0.0,0.0
candidate_E,A1,0,A,True,0.0,,1.0,0.5
candidate_E,A1,1,A,True,0.0,,1.0,0.5
candidate_E,A1,2,A,True,0.0,,1.0,0.5
candidate_E,A1,3,A,True,0.0,,1.0,0.5
candidate_E,A1,4,A,True,0.0,,1.0,0.5
candidate_E,A2,0,A,True,0.0,,1.0,0.5
candidate_E,A2,1,A,True,1.0,,1.0,1.0
candidate_E,A2,2,A,True,1.0,,1.0,1.0
candidate_E,A2,3,A,True,1.0,,1.0,1.0
candidate_E,A2,4,A,True,1.0,,1.0,1.0
candidate_E,A3,0,A,True,1.0,,1.0,1.0
candidate_E,A3,1,A,True,1.0,,1.0,1.0
candidate_E,A3,2,A,True,1.0,,1.0,1.0
candidate_E,A3,3,A,True,1.0,,1.0,1.0
candidate_E,A3,4,A,True,1.0,,1.0,1.0
candidate_E,B1,0,B,True,0.0,0.5,1.0,0.5
candidate_E,B1,1,B,True,1.0,1.0,1.0,1.0
candidate_E,B1,2,B,True,0.0,0.5,1.0,0.5
candidate_E,B1,3,B,True,1.0,1.0,1.0,1.0
candidate_E,B1,4,B,True,1.0,1.0,1.0,1.0
candidate_E,B2,0,B,True,1.0,1.0,1.0,1.0
candidate_E,B2,1,B,True,1.0,1.0,1.0,1.0
candidate_E,B2,2,B,True,1.0,1.0,1.0,1.0
candidate_E,B2,3,B,True,1.0,1.0,1.0,1.0
candidate_E,B2,4,B,True,1.0,1.0,1.0,1.0
candidate_E,B3,0,B,True,1.0,1.0,1.0,1.0
candidate_E,B3,1,B,True,1.0,1.0,1.0,1.0
candidate_E,B3,2,B,True,1.0,1.0,1.0,1.0
candidate_E,B3,3,B,True,1.0,1.0,1.0,1.0
candidate_E,B3,4,B,True,1.0,1.0,1.0,1.0
candidate_E,C1,0,C,True,1.0,,1.0,1.0
candidate_E,C1,1,C,True,1.0,,1.0,1.0
candidate_E,C1,2,C,True,1.0,,1.0,1.0
candidate_E,C1,3,C,True,1.0,,1.0,1.0
candidate_E,C1,4,C,True,1.0,,1.0,1.0
candidate_E,C2,0,C,True,0.0,,1.0,0.5
candidate_E,C2,1,C,True,0.0,,1.0,0.5
candidate_E,C2,2,C,True,0.0,,1.0,0.5
candidate_E,C2,3,C,True,0.0,,1.0,0.5
candidate_E,C2,4,C,True,0.0,,1.0,0.5
candidate_E,C3,0,C,True,1.0,,1.0,1.0
candidate_E,C3,1,C,True,1.0,,1.0,1.0
candidate_E,C3,2,C,True,1.0,,1.0,1.0
candidate_E,C3,3,C,True,1.0,,1.0,1.0
candidate_E,C3,4,C,True,1.0,,1.0,1.0
candidate_E,D1,0,D,True,0.0,,1.0,0.5
candidate_E,D1,1,D,True,0.0,,1.0,0.5
candidate_E,D1,2,D,True,0.0,,1.0,0.5
candidate_E,D1,3,D,True,0.0,,1.0,0.5
candidate_E,D1,4,D,True,0.0,,1.0,0.5
candidate_E,E1,0,E,True,1.0,,1.0,1.0
candidate_E,E1,1,E,True,1.0,,1.0,1.0
candidate_E,E1,2,E,True,1.0,,1.0,1.0
candidate_E,E1,3,E,True,1.0,,1.0,1.0
candidate_E,E1,4,E,True,1.0,,1.0,1.0
candidate_E,E2,0,E,True,1.0,,1.0,1.0
candidate_E,E2,1,E,True,1.0,,1.0,1.0
candidate_E,E2,2,E,True,1.0,,1.0,1.0
candidate_E,E2,3,E,True,1.0,,1.0,1.0
candidate_E,E2,4,E,True,1.0,,1.0,1.0
candidate_E,F1,0,F,True,0.0,,0.0,0.0
candidate_E,F1,1,F,True,0.0,,0.0,0.0
candidate_E,F1,2,F,True,0.0,,0.0,0.0
candidate_E,F1,3,F,True,0.0,,0.0,0.0
candidate_E,F1,4,F,True,0.0,,0.0,0.0
candidate_E,F2,0,F,True,0.0,,0.0,0.0
candidate_E,F2,1,F,True,1.0,,0.0,0.5
candidate_E,F2,2,F,True,1.0,,0.0,0.5
candidate_E,F2,3,F,True,1.0,,0.0,0.5
candidate_E,F2,4,F,True,0.0,,0.0,0.0
