band,idx,song,jitter_local,shimmer_local,hnr_mean,f0_median_st,f0_range_st,f0_std_st,vocal_ratio,vocal_centroid,n_voiced_frames
morfonica,198,Steer to Utopia,0.0138185102227823,0.1214478833595592,10.8268955420389,65.98682057635243,12.9,5.568613567266518,0.437445271120755,3300.3484943671547,6707
morfonica,206,MUGEN Reverberate!,0.0131367024837443,0.1036316582554778,12.608566706120383,61.38682057635243,14.500000000000009,6.308727063111434,0.3541579763708711,3401.532488402436,7074
pastel_palettes,344,Y.O.L.O！！！！！(パスパレver.),0.0150682294151629,0.0935270782760565,12.147486614207134,65.08682057635244,16.064999999999962,5.232613865241879,0.5229379794455358,3061.0745277804704,8988
morfonica,181,メランコリックララバイ,0.014481810896324,0.105791962553316,10.126438345288443,66.98682057635243,14.0,4.528993564854442,0.3926969379040235,3614.5446383707167,6054
morfonica,221,輪舞-revolution (Cover),0.0121483949578359,0.0998027177593074,12.481556363659884,66.18682057635243,15.1,4.954109823203024,0.3983489127092868,3458.7628982426454,7803
morfonica,229,青空のラプソディ (Cover),0.0142597292516323,0.1157499194628097,11.041864272316818,67.28682057635244,13.100000000000009,4.762593200554516,0.4347580089143726,3172.42161923356,9594
morfonica,232,COLORFUL BOX (Cover),0.0098005195976551,0.0809815683213243,14.164566927756848,67.08682057635244,12.835,5.237349764224497,0.4023573013184779,3310.730340564989,8434
roselia,571,BLACK SHOUT,0.0197299027086198,0.1510098546820382,8.728709352966051,67.08682057635244,30.700000000000003,7.514781260659823,0.5132282375060547,2908.2913403382645,7460
morfonica,184,カラフルリバティー,0.0115655264874069,0.0969418071760797,12.834922394008656,67.58682057635244,13.900000000000006,5.047080996914008,0.3917547677708928,3421.991669660292,5942
morfonica,224,Overdose (Cover),0.0155972464512518,0.1212100477210919,12.68058321727334,64.88682057635243,14.099999999999994,4.308434509354868,0.3469694216343501,2776.987846962716,6615
raise_a_suilen,556,Get Wild (Cover),0.0153489909371139,0.100182920671823,9.490861409816803,67.88682057635243,18.000000000000007,4.6097590424242485,0.5459050800465753,3419.03114640998,5289
ave_mujica,73,"Georgette Me, Georgette You",0.0111894486796725,0.0724295568901172,16.523582863722368,66.48682057635243,16.800000000000004,6.15330200867561,0.5988415274268616,2470.324996736597,7993
morfonica,225,かくれんぼ (Cover),0.0149195289232704,0.0921328239664064,13.4416911808614,66.38682057635243,18.1,5.606454293169115,0.3858318879593904,2994.113644732068,9635
morfonica,227,ALIVE (Cover),0.0121578559262446,0.1147862538403481,11.638813690507952,68.28682057635243,14.200000000000005,4.499492542162736,0.4574213237404243,3500.143516037717,7170
morfonica,196,Sonorous,0.009493111030129,0.0869933028353676,14.815207489129127,66.58682057635244,17.200000000000003,6.838896442196982,0.4203313549359402,2934.4149267536222,10902
ave_mujica,78,天球のMúsica,0.0120180277933163,0.0852226232709181,14.176146257104849,65.28682057635243,22.10000000000001,5.822650864183551,0.5022000497352109,3143.8396980800776,9542
morfonica,208,esora no clover,0.012030268216462272,0.09612515912664987,13.608696249010677,65.28682057635243,21.200000000000003,5.270607756328446,0.37354294418320055,3214.5603066587287,6519
