idx,band,song,duration_sec,acoustic_median,acoustic_p10,acoustic_p90,acoustic_std,n_patches,extract_sec,error
94,ave_mujica,DIVINE,257.63,6.821425813541282e-06,1.5203661973828275e-07,0.01967441663146019,0.10348588973283768,172,7.5,
96,ave_mujica,‘S/’ The Way,227.45,4.847515242545342e-07,2.9527662093187246e-08,7.140021625673398e-05,0.11239349842071533,151,6.49,
97,ave_mujica,碧い瞳の中に,223.96,0.002318697515875101,6.657011908828281e-06,0.9202266335487366,0.35149434208869934,149,6.73,
98,ave_mujica,堕天 (Cover),183.79,8.326205716002733e-06,1.8642209909103258e-07,0.00018954172264784575,0.015178246423602104,122,5.94,
103,various_artists,"Be shine, shining!",96.33,0.0007349790539592505,2.8213768018758856e-05,0.39052069187164307,0.21429085731506348,63,1.23,
101,various_artists,Don't be afraid!,238.8,0.0021474857348948717,1.9147348211845383e-05,0.06553690880537033,0.1449883133172989,159,5.74,
100,ave_mujica,暗黒天国 (Cover),265.32,4.09853964811191e-06,3.4767385415079843e-08,0.0005287698586471379,0.047398556023836136,177,7.12,
102,various_artists,Glee! Glee! Glee!,211.83,0.001461933832615614,6.191266584210098e-05,0.15253545343875885,0.1910826414823532,141,5.83,
104,various_artists,"Here, the world",263.24,0.000659317011013627,2.7205120204598643e-05,0.01060227956622839,0.0751662477850914,175,6.45,
99,ave_mujica,KINGS (Cover),317.63,2.569611751823686e-05,4.472393868582003e-07,0.000753094966057688,0.14522016048431396,212,8.44,
105,various_artists,CiRCLE THANKS MUSiC♪,313.7,1.2057503226969857e-05,3.3513271091578645e-07,0.0010425072396174073,0.008509333245456219,209,7.84,
106,hello_happy_world,キミがいなくちゃっ！,243.77,0.0052773053757846355,0.0003211751754861325,0.31979888677597046,0.19899974763393402,162,6.25,
108,hello_happy_world,スマイルブーケで た〜まや〜！,271.97,0.008011596277356148,0.00033986091148108244,0.12264083325862885,0.10631454735994339,181,7.88,
107,hello_happy_world,ハイファイブ∞あどべんちゃっ,272.43,2.6161314963246696e-05,1.046679130922712e-06,0.001227405620738864,0.05377966910600662,182,8.08,
110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,235.2,0.0020915681961923838,0.00020784213847946376,0.024677759036421776,0.03292708098888397,157,6.81,
109,hello_happy_world,えがお･シング･あ･ソング,249.2,0.004074123688042164,0.00011976758833043277,0.10391879081726074,0.13767962157726288,166,7.03,
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,233.3,4.045703826704994e-05,6.964143040022464e-07,0.0023716341238468885,0.010026377625763416,155,5.95,
112,hello_happy_world,ないすみちゅっ！,257.2,9.338125528302044e-05,3.291909024483175e-06,0.006628029979765415,0.04695018380880356,171,6.72,
113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,219.84,0.0009208465926349163,6.333126657409593e-05,0.020310774445533752,0.10267306864261627,146,5.74,
115,hello_happy_world,えがおのオーケストラっ！,230.2,0.006696633994579315,0.00025454905699007213,0.2502767741680145,0.16505785286426544,153,6.28,
114,hello_happy_world,うぃーきゃん☆フレフレっ！,239.64,0.00011937238741666079,6.208417289599311e-06,0.014917521737515926,0.13923820853233337,160,6.61,
116,hello_happy_world,にこにこねくと！,250.64,0.04502762481570244,0.002780047245323658,0.883406937122345,0.3199327290058136,167,6.69,
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,246.3,0.018043112009763718,0.0012536313151940703,0.3612258732318878,0.21051552891731262,164,6.62,
118,hello_happy_world,せかいのっびのびトレジャー！,212.7,0.0002584564790595323,1.5136724869080354e-05,0.003880013944581151,0.03040207363665104,141,5.23,
119,hello_happy_world,きらっ☆と キミフェス！,231.07,0.0002706144587136805,5.595781203737715e-06,0.018557025119662285,0.06236608326435089,154,5.72,
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,217.77,0.0022596074268221855,0.00018981314497068524,0.21125997602939606,0.1768014132976532,145,5.55,
121,hello_happy_world,はれやか すこやか ぴかりんりん♪,256.37,0.003593325847759843,0.00010847148223547265,0.09939472377300262,0.10829027742147446,171,6.08,
122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,292.0,0.1822635382413864,0.008801481686532497,0.8513112664222717,0.3213261663913727,195,7.92,
123,hello_happy_world,Happy! Happier! Happiest!,242.9,0.00033322302624583244,8.620278094895184e-06,0.007940770126879215,0.12771591544151306,162,6.74,
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,224.1,0.000207950099138543,2.688015456442372e-06,0.05730697140097618,0.09626328945159912,149,6.24,
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,233.2,0.0010903400834649801,7.65918375691399e-05,0.12792113423347473,0.12279228121042252,155,6.12,
126,hello_happy_world,おもいでイルミネーション,252.7,7.144473784137517e-05,6.060550731490366e-06,0.00223508826456964,0.016758887097239494,168,6.61,
127,hello_happy_world,おもいやりハーモニー,231.5,0.04476248472929001,0.0014827679842710495,0.5584367513656616,0.2519999146461487,154,6.34,
128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,210.6,0.0011386192636564374,5.651958053931594e-05,0.03753314167261124,0.14950160682201385,140,5.51,
129,hello_happy_world,えがお、あーゆーれでぃ???,226.3,0.0003878874995280057,1.1920702490897384e-05,0.018260855227708817,0.03079930879175663,151,6.03,
130,hello_happy_world,ハッピーサマーウェディング,284.67,0.00011822297528851777,7.195467787823873e-06,0.004607873503118753,0.006182696670293808,190,6.82,
132,hello_happy_world,ハッピー☆マテリアル,225.03,3.9332546293735504e-05,9.895658195091528e-07,0.000967227213550359,0.09796907752752304,150,5.94,
133,hello_happy_world,太陽曰く燃えよカオス,239.2,0.00012679179781116545,2.887809841922717e-06,0.006188673432916403,0.023899726569652557,159,6.58,
131,hello_happy_world,ひまわりの約束,307.3,0.09382130950689316,0.009132151491940022,0.6494277715682983,0.24732722342014313,205,8.45,
135,hello_happy_world,コレカラ,214.93,8.835868356982246e-05,3.489275286483462e-06,0.003607795573771,0.07577208429574966,143,6.38,
134,hello_happy_world,エクストラ・マジック・アワー,255.3,0.00041448455885984004,8.409372640016954e-06,0.06729377806186676,0.14917081594467163,170,7.18,
136,hello_happy_world,全力少年,241.8,0.0002363342500757426,1.39252715598559e-05,0.028684193268418312,0.11723943799734116,161,6.62,
139,hello_happy_world,ン・パカマーチ,156.0,0.0007407222874462605,1.847571911639534e-05,0.011444390751421452,0.01705274172127247,103,3.69,
137,hello_happy_world,オレンジ,278.4,0.0005549698835238814,2.2759020794183016e-05,0.09073792397975922,0.12482542544603348,186,7.81,
138,hello_happy_world,Happy Girl,238.13,0.0007662533898837864,3.38979261869099e-05,0.02086956426501274,0.06245545670390129,159,6.68,
140,hello_happy_world,サンバロハッピ〜！,216.5,0.001793797709979117,4.062209336552769e-05,0.08445960283279419,0.07781080156564713,144,5.77,
141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,206.8,0.00029269731021486223,8.483279088977724e-06,0.07910457998514175,0.1499125212430954,137,5.99,
142,hello_happy_world,むすんでわらって,241.97,0.00021482445299625397,9.232412594428752e-06,0.025553833693265915,0.17526723444461823,161,6.2,
143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,235.0,0.00012756809883285314,6.397916877176613e-06,0.006776012480258942,0.040098052471876144,156,6.04,
144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,237.7,0.0007547630229964852,3.8359332393156365e-05,0.19101645052433014,0.23903626203536987,158,6.63,
145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,227.63,0.00026529733440838754,1.2022207556583453e-05,0.012145659886300564,0.14819422364234924,151,6.64,
146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,212.33,0.00014699689927510917,1.1426092896726914e-05,0.007202934939414263,0.07935180515050888,141,5.83,
