idx,tag,band,song,selected_bpm_m2,selected_bpm_m5,switched
158,hello_happy_world__158,hello_happy_world,最高到達点 (Cover),132.5,132.5,False
159,hello_happy_world__159,hello_happy_world,許婚っきゅん (Cover),147.7,147.7,False
160,hello_happy_world__160,hello_happy_world,新宝島 (Cover),156.6,156.6,False
161,hello_happy_world__161,hello_happy_world,ドレミファロンド (Cover),126.0,126.0,False
162,hello_happy_world__162,hello_happy_world,きゅうくらりん (Cover),220.0,220.0,False
163,hello_happy_world__163,hello_happy_world,ロメオ (Cover),139.7,139.7,False
164,hello_happy_world__164,hello_happy_world,エイリアンエイリアン (Cover),152.0,152.0,False
165,hello_happy_world__165,hello_happy_world,いーあるふぁんくらぶ (Cover),143.6,143.6,False
166,hello_happy_world__166,hello_happy_world,回レ！雪月花 (Cover),159.0,159.0,False
167,hello_happy_world__167,hello_happy_world,恋愛裁判 (Cover),132.5,132.5,False
168,hello_happy_world__168,hello_happy_world,TOMORROW (Cover),132.5,132.5,False
169,hello_happy_world__169,hello_happy_world,GO! GO! MANIAC (Cover),126.0,126.0,False
170,hello_happy_world__170,hello_happy_world,Dragon Night (Cover),123.0,123.0,False
171,hello_happy_world__171,hello_happy_world,ようこそジャパリパークへ (Cover),169.4,169.4,False
172,hello_happy_world__172,hello_happy_world,ウィーアー！ (Cover),169.4,169.4,False
173,hello_happy_world__173,hello_happy_world,おジャ魔女カーニバル!! (Cover),147.7,147.7,False
174,hello_happy_world__174,hello_happy_world,ダーリンダンス (Cover),152.0,152.0,False
175,hello_happy_world__175,hello_happy_world,ノーポイッ！ (Cover),156.6,156.6,False
176,hello_happy_world__176,hello_happy_world,SHINY DAYS (Cover),220.0,73.33333333333333,True
177,hello_happy_world__177,hello_happy_world,シルエット (Cover),184.6,184.6,False
178,ikka_dumb_rock__178,ikka_dumb_rock,ホーミー・タイッ！！,129.2,129.2,False
179,millsage__179,millsage,起死開戦,112.3,112.3,False
180,morfonica__180,morfonica,Daylight -デイライト-,184.6,184.6,False
181,morfonica__181,morfonica,メランコリックララバイ,181.4,181.4,False
182,morfonica__182,morfonica,flame of hope,191.4,191.4,False
183,morfonica__183,morfonica,ブルームブルーム,181.4,181.4,False
184,morfonica__184,morfonica,カラフルリバティー,184.6,184.6,False
185,morfonica__185,morfonica,fly with the night,169.4,169.4,False
186,morfonica__186,morfonica,金色へのプレリュード,175.2,175.2,False
187,morfonica__187,morfonica,The Circle Of Butterflies,175.2,175.2,False
188,morfonica__188,morfonica,ハーモニー・デイ,181.4,181.4,False
189,morfonica__189,morfonica,Sweet Cheers!,220.0,220.0,False
190,morfonica__190,morfonica,"寄る辺のSunny, Sunny",184.6,184.6,False
191,morfonica__191,morfonica,誓いのWingbeat,206.8,206.8,False
192,morfonica__192,morfonica,Ever Sky Blue,195.0,195.0,False
193,morfonica__193,morfonica,Polyphonyscape,152.0,152.0,False
194,morfonica__194,morfonica,Wreath of Brave,136.0,136.0,False
195,morfonica__195,morfonica,Merry Merry Thanks!!,143.6,143.6,False
196,morfonica__196,morfonica,Sonorous,132.5,132.5,False
197,morfonica__197,morfonica,両翼のBrilliance,172.2,172.2,False
198,morfonica__198,morfonica,Steer to Utopia,195.0,65.0,True
199,morfonica__199,morfonica,Fateful...,132.5,132.5,False
200,morfonica__200,morfonica,ティリカモニカリラ,139.7,139.7,False
201,morfonica__201,morfonica,Secret Dawn,132.5,88.33333333333333,True
202,morfonica__202,morfonica,Angel's Ladder,198.8,198.8,False
203,morfonica__203,morfonica,One step at a time,175.2,175.2,False
204,morfonica__204,morfonica,Tempest,202.6,202.6,False
205,morfonica__205,morfonica,フレージング ミラージュ,191.4,191.4,False
206,morfonica__206,morfonica,MUGEN Reverberate!,188.0,62.66666666666666,True
207,morfonica__207,morfonica,わたしまちがいさがし,120.2,120.2,False
208,morfonica__208,morfonica,esora no clover,161.5,161.5,False
209,morfonica__209,morfonica,きょうもMerry go rounD,136.0,136.0,False
210,morfonica__210,morfonica,Feathered Dreams,175.2,175.2,False
211,morfonica__211,morfonica,Portray Empathy,172.2,172.2,False
212,morfonica__212,morfonica,ビューティ・フォー,198.8,198.8,False
213,morfonica__213,morfonica,胡蝶翔る星月夜,198.8,198.8,False
214,morfonica__214,morfonica,Color of Us,195.0,195.0,False
215,morfonica__215,morfonica,Resonant Strings,195.0,195.0,False
216,morfonica__216,morfonica,Shining Leaves,184.6,184.6,False
217,morfonica__217,morfonica,音がえしのセレナーデ,184.6,184.6,False
218,morfonica__218,morfonica,蒼穹へのトレイル,191.4,191.4,False
219,morfonica__219,morfonica,QUEEN (Cover),169.4,169.4,False
220,morfonica__220,morfonica,again (Cover),188.0,141.0,True
221,morfonica__221,morfonica,輪舞-revolution (Cover),129.2,86.13333333333333,True
222,morfonica__222,morfonica,メロウ (Cover),145.6,145.6,False
223,morfonica__223,morfonica,祝福 (Cover),169.4,169.4,False
224,morfonica__224,morfonica,Overdose (Cover),117.5,117.5,False
225,morfonica__225,morfonica,かくれんぼ (Cover),181.4,181.4,False
226,morfonica__226,morfonica,chAngE (Cover),164.0,164.0,False
