idx,tag,threshold,selected_bpm_m4,switched
62,afterglow__062,0.02,61.53333333333333,True
62,afterglow__062,0.05,61.53333333333333,True
62,afterglow__062,0.08,61.53333333333333,True
62,afterglow__062,0.1,61.53333333333333,True
62,afterglow__062,0.15,61.53333333333333,True
62,afterglow__062,0.2,61.53333333333333,True
63,afterglow__063,0.01,74.9,False
63,afterglow__063,0.02,74.9,False
63,afterglow__063,0.05,74.9,False
63,afterglow__063,0.08,49.93333333333334,True
63,afterglow__063,0.1,49.93333333333334,True
63,afterglow__063,0.15,49.93333333333334,True
63,afterglow__063,0.2,49.93333333333334,True
64,afterglow__064,0.01,90.66666666666666,True
64,afterglow__064,0.02,90.66666666666666,True
64,afterglow__064,0.05,90.66666666666666,True
64,afterglow__064,0.08,90.66666666666666,True
64,afterglow__064,0.1,90.66666666666666,True
64,afterglow__064,0.15,90.66666666666666,True
64,afterglow__064,0.2,90.66666666666666,True
65,afterglow__065,0.01,94.0,False
65,afterglow__065,0.02,94.0,False
65,afterglow__065,0.05,62.66666666666666,True
65,afterglow__065,0.08,62.66666666666666,True
65,afterglow__065,0.1,62.66666666666666,True
65,afterglow__065,0.15,62.66666666666666,True
65,afterglow__065,0.2,62.66666666666666,True
66,afterglow__066,0.01,74.86666666666666,True
66,afterglow__066,0.02,74.86666666666666,True
66,afterglow__066,0.05,74.86666666666666,True
66,afterglow__066,0.08,74.86666666666666,True
66,afterglow__066,0.1,74.86666666666666,True
66,afterglow__066,0.15,74.86666666666666,True
66,afterglow__066,0.2,74.86666666666666,True
67,afterglow__067,0.01,76.0,False
67,afterglow__067,0.02,76.0,False
67,afterglow__067,0.05,101.33333333333331,True
67,afterglow__067,0.08,101.33333333333331,True
67,afterglow__067,0.1,101.33333333333331,True
67,afterglow__067,0.15,101.33333333333331,True
67,afterglow__067,0.2,101.33333333333331,True
68,afterglow__068,0.01,45.35,False
68,afterglow__068,0.02,45.35,False
68,afterglow__068,0.05,60.46666666666667,True
68,afterglow__068,0.08,60.46666666666667,True
