idx,tag,band,song,drum_tempo_bpm,audio_status,cand_0.25_bpm,cand_0.25_acf,cand_0.5_bpm,cand_0.5_acf,cand_1.0_bpm,cand_1.0_acf,cand_2.0_bpm,cand_2.0_acf,cand_4.0_bpm,cand_4.0_acf,cand_0.667_bpm,cand_0.667_acf,cand_1.5_bpm,cand_1.5_acf
13,afterglow__013,afterglow,いつも通りのBrand new days,95.7,ok,23.925,0.6209810972213745,47.85,0.6764690279960632,95.7,0.6649166345596313,191.4,0.5510778427124023,382.8,0.48570552468299866,63.8,0.5194793939590454,143.55,0.15144023299217224
14,afterglow__014,afterglow,SWITCH ON NOW,99.4,ok,24.85,0.48518893122673035,49.7,0.5752838850021362,99.4,0.5936184525489807,198.8,0.483302503824234,397.6,0.45863956212997437,66.26666666666667,0.4222300052642822,149.10000000000002,0.24435774981975555
15,afterglow__015,afterglow,ランブリングメモリー,126.0,ok,31.5,0.518401026725769,63.0,0.6335514187812805,126.0,0.6927501559257507,252.0,0.08884760737419128,504.0,0.11107941716909409,84.0,0.09502306580543518,189.0,0.24914413690567017
16,afterglow__016,afterglow,COMIC PANIC!!!,105.5,ok,26.375,0.5361432433128357,52.75,0.5989171862602234,105.5,0.6446854472160339,211.0,0.48655936121940613,422.0,0.18706202507019043,70.33333333333333,0.4373767077922821,158.25,0.3104744255542755
17,afterglow__017,afterglow,Trouble Joyful!!,97.5,ok,24.375,0.5364809632301331,48.75,0.6524232625961304,97.5,0.6901700496673584,195.0,0.5561468601226807,390.0,0.4385336637496948,65.0,0.5357476472854614,146.25,0.20062954723834991
18,afterglow__018,afterglow,Jamboree!Journey!,78.3,ok,19.575,0.570014238357544,39.15,0.6412550210952759,78.3,0.6460162997245789,156.6,0.5541074275970459,313.2,0.5288903713226318,52.199999999999996,0.49230819940567017,117.44999999999999,0.1615467518568039
19,afterglow__019,afterglow,カナユメ,126.0,ok,31.5,0.4925290644168854,63.0,0.5949075818061829,126.0,0.6042209267616272,252.0,0.415057897567749,504.0,0.2192925065755844,84.0,0.44517427682876587,189.0,0.13427025079727173
20,afterglow__020,afterglow,独創収差,126.0,ok,31.5,0.7387092709541321,63.0,0.5599837899208069,126.0,0.5400779843330383,252.0,0.39830219745635986,504.0,0.4033789038658142,84.0,0.4698105454444885,189.0,0.1488097608089447
21,afterglow__021,afterglow,極彩色,92.3,ok,23.075,0.5731971859931946,46.15,0.6286976933479309,92.3,0.603874146938324,184.6,0.4876817464828491,369.2,0.45660704374313354,61.53333333333333,0.4358898401260376,138.45,0.2342056930065155
22,afterglow__022,afterglow,サクラゼンセン,139.7,ok,34.925,0.656590461730957,69.85,0.6554826498031616,139.7,0.5418254733085632,279.4,0.46058228611946106,558.8,0.22127754986286163,93.13333333333333,0.47207650542259216,209.54999999999998,0.2142447531223297
23,afterglow__023,afterglow,True color,79.5,ok,19.875,0.49427342414855957,39.75,0.6163248419761658,79.5,0.6244667768478394,159.0,0.4273339807987213,318.0,0.4416239857673645,53.0,0.36661550402641296,119.25,0.2089899480342865
24,afterglow__024,afterglow,Crow Song,87.6,ok,21.9,0.5220232009887695,43.8,0.6825336813926697,87.6,0.7361922860145569,175.2,0.5993759036064148,350.4,0.4784073233604431,58.39999999999999,0.519210159778595,131.39999999999998,0.1768844574689865
25,afterglow__025,afterglow,カサブタ,86.1,ok,21.525,0.7136085033416748,43.05,0.7071555256843567,86.1,0.7144845128059387,172.2,0.5339944362640381,344.4,0.45816469192504883,57.39999999999999,0.5394167304039001,129.14999999999998,0.1732720285654068
26,afterglow__026,afterglow,アイのシナリオ,90.7,ok,22.675,0.45913198590278625,45.35,0.6150083541870117,90.7,0.6881592869758606,181.4,0.6577380299568176,362.8,0.4162366986274719,60.46666666666667,0.5568798184394836,136.05,0.1550779640674591
27,afterglow__027,afterglow,Northern lights,136.0,ok,34.0,0.5107032656669617,68.0,0.6104606986045837,136.0,0.6139639019966125,272.0,0.42796590924263,544.0,0.2737780809402466,90.66666666666666,0.41395071148872375,204.0,0.15478071570396423
28,afterglow__028,afterglow,トーキョーワンダー。,136.0,ok,34.0,0.3550410270690918,68.0,0.5590548515319824,136.0,0.6012914180755615,272.0,0.4171580672264099,544.0,0.20536983013153076,90.66666666666666,0.3572355806827545,204.0,0.17324575781822205
29,afterglow__029,afterglow,Reach Out To The Truth,84.7,ok,21.175,0.6061675548553467,42.35,0.6729302406311035,84.7,0.6890621185302734,169.4,0.45625272393226624,338.8,0.4408268928527832,56.46666666666667,0.42106449604034424,127.05000000000001,0.15924599766731262
30,afterglow__030,afterglow,Listen!!,87.6,ok,21.9,0.6854054927825928,43.8,0.729136049747467,87.6,0.7029078006744385,175.2,0.5730564594268799,350.4,0.49709558486938477,58.39999999999999,0.537295401096344,131.39999999999998,0.1237093135714531
31,afterglow__031,afterglow,青い栞,132.5,ok,33.125,0.7229319214820862,66.25,0.7515364289283752,132.5,0.7117689251899719,265.0,0.44724568724632263,530.0,0.1857813447713852,88.33333333333333,0.44005101919174194,198.75,0.15780115127563477
32,afterglow__032,afterglow,イマジネーション,101.3,ok,25.325,0.46656644344329834,50.65,0.5263847708702087,101.3,0.5930430889129639,202.6,0.49091872572898865,405.2,0.33274030685424805,67.53333333333333,0.43094101548194885,151.95,0.14342401921749115
33,afterglow__033,afterglow,Butter-Fly,86.1,ok,21.525,0.4701300263404846,43.05,0.6089224219322205,86.1,0.6474680304527283,172.2,0.46789121627807617,344.4,0.4505448341369629,57.39999999999999,0.4175799489021301,129.14999999999998,0.25813883543014526
34,afterglow__034,afterglow,燦々,97.5,ok,24.375,0.5984886288642883,48.75,0.6190042495727539,97.5,0.6618035435676575,195.0,0.5361600518226624,390.0,0.43925371766090393,65.0,0.4862438440322876,146.25,0.1451750546693802
35,afterglow__035,afterglow,That's why I'm here.,92.3,ok,23.075,0.5838931202888489,46.15,0.6190740466117859,92.3,0.6223064661026001,184.6,0.5758637189865112,369.2,0.4622347056865692,61.53333333333333,0.5372195243835449,138.45,0.13373024761676788
36,afterglow__036,afterglow,IGNITE GLOW,132.5,ok,33.125,0.6025781035423279,66.25,0.5810673832893372,132.5,0.6203597784042358,265.0,0.48342227935791016,530.0,0.3950234353542328,88.33333333333333,0.5065834522247314,198.75,0.1670795977115631
37,afterglow__037,afterglow,ペトリコール・オベーション,92.3,ok,23.075,0.6195754408836365,46.15,0.6586326360702515,92.3,0.666053831577301,184.6,0.507489800453186,369.2,0.4363299608230591,61.53333333333333,0.4717594087123871,138.45,0.19675908982753754
38,afterglow__038,afterglow,Made My Day,95.7,ok,23.925,0.48681190609931946,47.85,0.6196624040603638,95.7,0.6820517778396606,191.4,0.5126802921295166,382.8,0.5292991995811462,63.8,0.4571315050125122,143.55,0.15949222445487976
39,afterglow__039,afterglow,Glowing After,99.4,ok,24.85,0.6477178931236267,49.7,0.7272558212280273,99.4,0.723404586315155,198.8,0.5685398578643799,397.6,0.3943365514278412,66.26666666666667,0.5704917311668396,149.10000000000002,0.0916442945599556
40,afterglow__040,afterglow,A Sunset So Bright,126.0,ok,31.5,0.46976229548454285,63.0,0.4573324918746948,126.0,0.5373085141181946,252.0,0.24200157821178436,504.0,0.19934292137622833,84.0,0.2181948870420456,189.0,0.4916485846042633
41,afterglow__041,afterglow,Start as Usual,90.7,ok,22.675,0.46006688475608826,45.35,0.6850924491882324,90.7,0.7907030582427979,181.4,0.6409873962402344,362.8,0.49143287539482117,60.46666666666667,0.5481650233268738,136.05,0.15580886602401733
42,afterglow__042,afterglow,“Say cheese!!!!!”,120.2,ok,30.05,0.6223862767219543,60.1,0.5564875602722168,120.2,0.5501669645309448,240.4,0.3702743649482727,480.8,0.2866412401199341,80.13333333333333,0.35460224747657776,180.3,0.17316356301307678
43,afterglow__043,afterglow,花笑みのデュオ,99.4,ok,24.85,0.5257934331893921,49.7,0.6259673237800598,99.4,0.6616069078445435,198.8,0.5946446061134338,397.6,0.4149562120437622,66.26666666666667,0.5407954454421997,149.10000000000002,0.1370570957660675
44,afterglow__044,afterglow,READY STEADY GO (Cover),143.6,ok,35.9,0.7455429434776306,71.8,0.7423474788665771,143.6,0.7886607050895691,287.2,0.5847024917602539,574.4,0.262707382440567,95.73333333333332,0.5669691562652588,215.39999999999998,0.12107580155134201
45,afterglow__045,afterglow,abnormalize (Cover),87.6,ok,21.9,0.5692822933197021,43.8,0.6500082612037659,87.6,0.6487451791763306,175.2,0.5699948668479919,350.4,0.41645410656929016,58.39999999999999,0.5110780000686646,131.39999999999998,0.18184056878089905
46,afterglow__046,afterglow,メンタルチェンソー (Cover),94.0,ok,23.5,0.7343546748161316,47.0,0.7231815457344055,94.0,0.7886886596679688,188.0,0.7514633536338806,376.0,0.37189921736717224,62.666666666666664,0.6786155700683594,141.0,0.11683718860149384
47,afterglow__047,afterglow,Bunny Girl (Cover),79.5,ok,19.875,0.4936181306838989,39.75,0.6885373592376709,79.5,0.5562912225723267,159.0,0.37088295817375183,318.0,0.3645265996456146,53.0,0.3545387089252472,119.25,0.06596454232931137
48,afterglow__048,afterglow,オレンジ (Cover),99.4,ok,24.85,0.5124080777168274,49.7,0.47147008776664734,99.4,0.4879249930381775,198.8,0.46147245168685913,397.6,0.30559250712394714,66.26666666666667,0.3923128545284271,149.10000000000002,0.15181636810302734
49,afterglow__049,afterglow,カゲロウデイズ (Cover),99.4,ok,24.85,0.5505573153495789,49.7,0.716830313205719,99.4,0.7746289968490601,198.8,0.5840442180633545,397.6,0.39979714155197144,66.26666666666667,0.5458248257637024,149.10000000000002,0.12263469398021698
50,afterglow__050,afterglow,DAY×DAY (Cover),95.7,ok,23.925,0.4245053827762604,47.85,0.6231544017791748,95.7,0.7213041186332703,191.4,0.5666132569313049,382.8,0.4308602213859558,63.8,0.5000948905944824,143.55,0.12463121116161346
51,afterglow__051,afterglow,ロキ (Cover),147.7,ok,36.925,0.358429878950119,73.85,0.5763117074966431,147.7,0.6773708462715149,295.4,0.40565696358680725,590.8,0.17758555710315704,98.46666666666665,0.4062619209289551,221.54999999999998,0.14241671562194824
52,afterglow__052,afterglow,CHAINSAW BLOOD (Cover),147.7,ok,36.925,0.6489395499229431,73.85,0.7471686601638794,147.7,0.7189064025878906,295.4,0.2561872601509094,590.8,0.1372906118631363,98.46666666666665,0.2498701959848404,221.54999999999998,0.09816001355648041
53,afterglow__053,afterglow,チルドレンレコード (Re:boot) (Cover),103.4,ok,25.85,0.6004783511161804,51.7,0.6648783683776855,103.4,0.6309635639190674,206.8,0.43688076734542847,413.6,0.3427909314632416,68.93333333333334,0.4088086485862732,155.10000000000002,0.19888749718666077
54,afterglow__054,afterglow,青のすみか (Cover),152.0,ok,38.0,0.7265214920043945,76.0,0.6995792388916016,152.0,0.7135205268859863,304.0,0.38639596104621887,608.0,0.17512956261634827,101.33333333333333,0.4024164378643036,228.0,0.14563287794589996
55,afterglow__055,afterglow,GO!!! (Cover),132.5,ok,33.125,0.4906858205795288,66.25,0.6654399633407593,132.5,0.6487829685211182,265.0,0.46042537689208984,530.0,0.2280152142047882,88.33333333333333,0.4293687343597412,198.75,0.13932444155216217
56,afterglow__056,afterglow,天ノ弱 (Cover),99.4,ok,24.85,0.5089124441146851,49.7,0.608104944229126,99.4,0.62490314245224,198.8,0.4765024185180664,397.6,0.47592899203300476,66.26666666666667,0.48197150230407715,149.10000000000002,0.1425515115261078
57,afterglow__057,afterglow,アスノヨゾラ哨戒班 (Cover),92.3,ok,23.075,0.6375141739845276,46.15,0.7243662476539612,92.3,0.7701380848884583,184.6,0.7431896924972534,369.2,0.3850519061088562,61.53333333333333,0.6833867430686951,138.45,0.1332402378320694
58,afterglow__058,afterglow,瞬間センチメンタル (Cover),84.7,ok,21.175,0.3692593574523926,42.35,0.559522807598114,84.7,0.6886574029922485,169.4,0.6416510939598083,338.8,0.4126768112182617,56.46666666666667,0.5847936868667603,127.05000000000001,0.1309145838022232
59,afterglow__059,afterglow,プライド革命 (Cover),92.3,ok,23.075,0.5499273538589478,46.15,0.5468549132347107,92.3,0.5807659029960632,184.6,0.5308979153633118,369.2,0.3961445391178131,61.53333333333333,0.4705967903137207,138.45,0.20206132531166077
60,afterglow__060,afterglow,命に嫌われている。 (Cover),99.4,ok,24.85,0.5451840758323669,49.7,0.7148489952087402,99.4,0.7154443264007568,198.8,0.7406646013259888,397.6,0.3881739675998688,66.26666666666667,0.6579232811927795,149.10000000000002,0.11619862914085388
61,afterglow__061,afterglow,Redo (Cover),95.7,ok,23.925,0.41394859552383423,47.85,0.600975513458252,95.7,0.6434957981109619,191.4,0.6395286321640015,382.8,0.44298049807548523,63.8,0.5708010792732239,143.55,0.12906807661056519
62,afterglow__062,afterglow,インフェルノ (Cover),92.3,ok,23.075,0.6011378169059753,46.15,0.6478652954101562,92.3,0.6506967544555664,184.6,0.5185790061950684,369.2,0.3654807209968567,61.53333333333333,0.4837270975112915,138.45,0.19034343957901
63,afterglow__063,afterglow,ドラマツルギー (Cover),74.9,ok,18.725,0.44719260931015015,37.45,0.5911540389060974,74.9,0.6413434147834778,149.8,0.4737457036972046,299.6,0.40952053666114807,49.93333333333334,0.42908740043640137,112.35000000000001,0.2168847769498825
64,afterglow__064,afterglow,COLORS (Cover),136.0,ok,34.0,0.7127678990364075,68.0,0.71709805727005,136.0,0.6772873997688293,272.0,0.4171229302883148,544.0,0.17959612607955933,90.66666666666666,0.4020652174949646,204.0,0.13158008456230164
65,afterglow__065,afterglow,午夜の待ち合わせ (Cover),94.0,ok,23.5,0.5363984107971191,47.0,0.6048232316970825,94.0,0.6339131593704224,188.0,0.5367417335510254,376.0,0.4596863090991974,62.666666666666664,0.5082945227622986,141.0,0.25753021240234375
66,afterglow__066,afterglow,サムライハート（Some Like It Hot!!） (Cover),112.3,ok,28.075,0.5546429753303528,56.15,0.6028351783752441,112.3,0.6065703630447388,224.6,0.4102898836135864,449.2,0.25353726744651794,74.86666666666666,0.41741910576820374,168.45,0.1760750561952591
67,afterglow__067,afterglow,ベノム (Cover),152.0,ok,38.0,0.6880934238433838,76.0,0.7075244784355164,152.0,0.685951828956604,304.0,0.5107213258743286,608.0,0.20171096920967102,101.33333333333333,0.4857397675514221,228.0,0.1749369502067566
68,afterglow__068,afterglow,Don't say “lazy” (Cover),90.7,ok,22.675,0.6879065036773682,45.35,0.7167880535125732,90.7,0.6776283383369446,181.4,0.4815607964992523,362.8,0.3578605353832245,60.46666666666667,0.4523371458053589,136.05,0.23016861081123352
69,afterglow__069,afterglow,Part of the Life,92.3,ok,23.075,0.579815685749054,46.15,0.6174443960189819,92.3,0.6247348189353943,184.6,0.6101770997047424,369.2,0.4323555529117584,61.53333333333333,0.548973023891449,138.45,0.21840804815292358
70,afterglow__070,afterglow,Punchline Halloween!!!,90.7,ok,22.675,0.43199422955513,45.35,0.5845481753349304,90.7,0.6275694370269775,181.4,0.4495980441570282,362.8,0.4677194654941559,60.46666666666667,0.3888441324234009,136.05,0.2123928815126419
71,afterglow__071,afterglow,I love your way！,129.2,ok,32.3,0.6212249994277954,64.6,0.6988248229026794,129.2,0.7405964136123657,258.4,0.5492899417877197,516.8,0.31616052985191345,86.13333333333333,0.506615161895752,193.79999999999998,0.1578848958015442
72,ave_mujica__072,ave_mujica,KiLLKiSS,132.5,ok,33.125,0.5132021903991699,66.25,0.5580262541770935,132.5,0.6112430095672607,265.0,0.16311949491500854,530.0,0.16647528111934662,88.33333333333333,0.16492629051208496,198.75,0.5990637540817261
73,ave_mujica__073,ave_mujica,"Georgette Me, Georgette You",143.6,ok,35.9,0.31510260701179504,71.8,0.4322702884674072,143.6,0.4996357560157776,287.2,0.49834662675857544,574.4,0.2059926837682724,95.73333333333332,0.48185333609580994,215.39999999999998,0.11622059345245361
74,ave_mujica__074,ave_mujica,Imprisoned XII,105.5,ok,26.375,0.5294550657272339,52.75,0.5761110186576843,105.5,0.5801123380661011,211.0,0.10982993245124817,422.0,0.11166783422231674,70.33333333333333,0.11340847611427307,158.25,0.2683883607387543
75,ave_mujica__075,ave_mujica,Crucifix X,136.0,ok,34.0,0.378901869058609,68.0,0.49739325046539307,136.0,0.5282638072967529,272.0,0.11254532635211945,544.0,0.13668067753314972,90.66666666666666,0.11427731066942215,204.0,0.5567607283592224
76,ave_mujica__076,ave_mujica,八芒星ダンス,114.8,ok,28.7,0.47897326946258545,57.4,0.6297580599784851,114.8,0.6264259219169617,229.6,0.5327286124229431,459.2,0.5322479605674744,76.53333333333333,0.5519005656242371,172.2,0.1254528909921646
77,ave_mujica__077,ave_mujica,顔,139.7,ok,34.925,0.6934914588928223,69.85,0.6754090785980225,139.7,0.5786207318305969,279.4,0.4626559019088745,558.8,0.3037348687648773,93.13333333333333,0.4304492175579071,209.54999999999998,0.1752242147922516
78,ave_mujica__078,ave_mujica,天球のMúsica,129.2,ok,32.3,0.33501389622688293,64.6,0.5268363356590271,129.2,0.6037585735321045,258.4,0.16252629458904266,516.8,0.18128889799118042,86.13333333333333,0.163324773311615,193.79999999999998,0.5631557703018188
79,ave_mujica__079,ave_mujica,黒のバースデイ,99.4,ok,24.85,0.5597343444824219,49.7,0.5928290486335754,99.4,0.6188853979110718,198.8,0.5789358615875244,397.6,0.48940595984458923,66.26666666666667,0.5592063665390015,149.10000000000002,0.14181558787822723
80,ave_mujica__080,ave_mujica,ふたつの月 ~Deep Into The Forest~,120.2,ok,30.05,0.5005274415016174,60.1,0.5843145847320557,120.2,0.6582884192466736,240.4,0.16929766535758972,480.8,0.1311156451702118,80.13333333333333,0.17955359816551208,180.3,0.6084542870521545
81,ave_mujica__081,ave_mujica,Choir ‘S’ Choir,147.7,ok,36.925,0.6491184830665588,73.85,0.5230833292007446,147.7,0.5464215874671936,295.4,0.4057579040527344,590.8,0.239262193441391,98.46666666666665,0.507085919380188,221.54999999999998,0.146357461810112
82,ave_mujica__082,ave_mujica,神さま、バカ,120.2,ok,30.05,0.4716495871543884,60.1,0.4943389296531677,120.2,0.5621331930160522,240.4,0.15099243819713593,480.8,0.13515862822532654,80.13333333333333,0.1594526469707489,180.3,0.4995971918106079
83,ave_mujica__083,ave_mujica,Mas?uerade Rhapsody Re?uest,95.7,ok,23.925,0.42675676941871643,47.85,0.6382456421852112,95.7,0.7166290879249573,191.4,0.6016055345535278,382.8,0.5405714511871338,63.8,0.5429722666740417,143.55,0.10954712331295013
84,ave_mujica__084,ave_mujica,Ave Mujica,112.3,ok,28.075,0.3346528112888336,56.15,0.48559433221817017,112.3,0.5872777700424194,224.6,0.4142393469810486,449.2,0.3687470555305481,74.86666666666666,0.3861953318119049,168.45,0.13088737428188324
85,ave_mujica__085,ave_mujica,Symbol I : △,117.5,ok,29.375,0.6726568341255188,58.75,0.7593435645103455,117.5,0.7417780160903931,235.0,0.7319901585578918,470.0,0.5696743726730347,78.33333333333333,0.7004732489585876,176.25,0.08756152540445328
86,ave_mujica__086,ave_mujica,Symbol II : Air,99.4,ok,24.85,0.3768959045410156,49.7,0.6410783529281616,99.4,0.7252870202064514,198.8,0.6320403218269348,397.6,0.09474427998065948,66.26666666666667,0.5698416233062744,149.10000000000002,0.4952964782714844
87,ave_mujica__087,ave_mujica,Symbol III : ▽,166.7,ok,41.675,0.5179432034492493,83.35,0.5156095027923584,166.7,0.5363341569900513,333.4,0.5310103893280029,666.8,0.5276600122451782,111.13333333333333,0.517169713973999,250.04999999999998,0.5229197144508362
88,ave_mujica__088,ave_mujica,Symbol IV : Earth,147.7,ok,36.925,0.6245445609092712,73.85,0.6071473360061646,147.7,0.5820783376693726,295.4,0.5280067324638367,590.8,0.301472544670105,98.46666666666665,0.5718317031860352,221.54999999999998,0.10506751388311386
89,ave_mujica__089,ave_mujica,Ether,126.0,ok,31.5,0.49847084283828735,63.0,0.48738211393356323,126.0,0.5330414772033691,252.0,0.1686277985572815,504.0,0.13176539540290833,84.0,0.18142513930797577,189.0,0.49393773078918457
90,ave_mujica__090,ave_mujica,The Whole Blue World,99.4,ok,24.85,0.5496492385864258,49.7,0.7253596186637878,99.4,0.7764477133750916,198.8,0.532585084438324,397.6,0.46747907996177673,66.26666666666667,0.5123515725135803,149.10000000000002,0.10810039192438126
91,ave_mujica__091,ave_mujica,in your blue eyes,95.7,ok,23.925,0.24168260395526886,47.85,0.2808680534362793,95.7,0.4086468517780304,191.4,0.365104615688324,382.8,0.11329329758882523,63.8,0.23506715893745422,143.55,0.3221893012523651
92,ave_mujica__092,ave_mujica,素晴らしき世界 でも どこにもない場所,132.5,ok,33.125,0.44664719700813293,66.25,0.47252950072288513,132.5,0.5455199480056763,265.0,0.09926681220531464,530.0,0.1516709178686142,88.33333333333333,0.10259197652339935,198.75,0.48963284492492676
93,ave_mujica__093,ave_mujica,Angles,129.2,ok,32.3,0.6102393865585327,64.6,0.5319626331329346,129.2,0.6077403426170349,258.4,0.10556623339653015,516.8,0.15765084326267242,86.13333333333333,0.09749940782785416,193.79999999999998,0.5298234224319458
94,ave_mujica__094,ave_mujica,DIVINE,117.5,ok,29.375,0.4132252037525177,58.75,0.6329286694526672,117.5,0.7141826152801514,235.0,0.6418008208274841,470.0,0.5099759101867676,78.33333333333333,0.5842965841293335,176.25,0.07564905285835266
95,ave_mujica__095,ave_mujica,Sophie,99.4,ok,24.85,0.5429264307022095,49.7,0.7199550271034241,99.4,0.7253482341766357,198.8,0.5843108296394348,397.6,0.4524439573287964,66.26666666666667,0.5410928130149841,149.10000000000002,0.1168990209698677
96,ave_mujica__096,ave_mujica,‘S/’ The Way,156.6,ok,39.15,0.5326698422431946,78.3,0.6557229161262512,156.6,0.6753653287887573,313.2,0.5090405941009521,626.4,0.46990031003952026,104.39999999999999,0.47808510065078735,234.89999999999998,0.16982971131801605
97,ave_mujica__097,ave_mujica,碧い瞳の中に,95.7,ok,23.925,0.24197468161582947,47.85,0.2859010696411133,95.7,0.41588643193244934,191.4,0.36941179633140564,382.8,0.11296021193265915,63.8,0.23811782896518707,143.55,0.33164966106414795
98,ave_mujica__098,ave_mujica,堕天 (Cover),103.4,ok,25.85,0.4099547564983368,51.7,0.6308692693710327,103.4,0.7272520065307617,206.8,0.6887381076812744,413.6,0.4819221496582031,68.93333333333334,0.6204082369804382,155.10000000000002,0.09643184393644333
99,ave_mujica__099,ave_mujica,KINGS (Cover),87.6,ok,21.9,0.6182247996330261,43.8,0.7411379218101501,87.6,0.7603368759155273,175.2,0.6559560894966125,350.4,0.5275408029556274,58.39999999999999,0.6561799645423889,131.39999999999998,0.0902874767780304
100,ave_mujica__100,ave_mujica,暗黒天国 (Cover),95.7,ok,23.925,0.3986004889011383,47.85,0.5741561055183411,95.7,0.6385415196418762,191.4,0.5243410468101501,382.8,0.20628394186496735,63.8,0.49943819642066956,143.55,0.2767830491065979
101,various_artists__101,various_artists,Don't be afraid!,90.7,ok,22.675,0.43764081597328186,45.35,0.5731512904167175,90.7,0.6479915380477905,181.4,0.5737481117248535,362.8,0.3904098570346832,60.46666666666667,0.47287264466285706,136.05,0.16013680398464203
102,various_artists__102,various_artists,Glee! Glee! Glee!,90.7,ok,22.675,0.45229169726371765,45.35,0.5846410393714905,90.7,0.6257298588752747,181.4,0.556283175945282,362.8,0.4039868414402008,60.46666666666667,0.46211814880371094,136.05,0.12077000737190247
103,various_artists__103,various_artists,"Be shine, shining!",117.5,ok,29.375,0.3273952305316925,58.75,0.43180981278419495,117.5,0.4471314251422882,235.0,0.48024457693099976,470.0,0.24852551519870758,78.33333333333333,0.4316631257534027,176.25,0.10406561195850372
104,various_artists__104,various_artists,"Here, the world",123.0,ok,30.75,0.8484917283058167,61.5,0.8293578028678894,123.0,0.7959092855453491,246.0,0.6744158267974854,492.0,0.10885205119848251,82.0,0.6664136648178101,184.5,0.09748037904500961
105,various_artists__105,various_artists,CiRCLE THANKS MUSiC♪,123.0,ok,30.75,0.7071883082389832,61.5,0.6758116483688354,123.0,0.6313875913619995,246.0,0.5113094449043274,492.0,0.24383993446826935,82.0,0.4989379346370697,184.5,0.12512356042861938
106,hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,123.0,ok,30.75,0.44622349739074707,61.5,0.5811971426010132,123.0,0.5338935852050781,246.0,0.3896586000919342,492.0,0.19752298295497894,82.0,0.3875691294670105,184.5,0.17371022701263428
