idx,band,song,duration_sec,crowd_median,crowd_p10,crowd_p90,crowd_std,noise_floor_db,rt60_est_sec,n_patches,extract_sec,error
193,morfonica,Polyphonyscape,251.43,0.0009609548724256456,0.00046306365402415395,0.0017906217835843563,0.0018643962685018778,-22.09,5.0,126,1.46,
194,morfonica,Wreath of Brave,263.23,0.0012334671337157488,0.0005955935921519995,0.002371513284742832,0.0008824695250950754,-18.96,5.0,132,1.58,
195,morfonica,Merry Merry Thanks!!,257.73,0.0008899929816834629,0.00043975611333735287,0.0018883505836129189,0.0008247124496847391,-20.07,5.0,129,1.63,
196,morfonica,Sonorous,313.27,0.0009373698267154396,0.0004949568537995219,0.0024986781645566225,0.0010206066071987152,-20.18,5.0,157,2.03,
197,morfonica,両翼のBrilliance,239.8,0.0009770679753273726,0.0004138037911616266,0.001810076180845499,0.000758460140787065,-17.47,5.0,120,1.58,
198,morfonica,Steer to Utopia,,,,,,-16.84,5.0,,1.39,
199,morfonica,Fateful...,286.83,0.0007538592908531427,0.00042932829819619656,0.0015672458102926612,0.0007566002896055579,-19.47,5.0,144,1.83,
200,morfonica,ティリカモニカリラ,,,,,,-20.11,5.0,,1.31,
201,morfonica,Secret Dawn,238.44,0.0007308237254619598,0.00043602671939879656,0.0015458532143384218,0.0006160882767289877,-22.44,5.0,120,1.52,
202,morfonica,Angel's Ladder,253.4,0.0008155643008649349,0.0004152589535806328,0.0017336610471829772,0.000771978113334626,-17.27,5.0,127,1.63,
203,morfonica,One step at a time,263.74,0.0007353683467954397,0.0003824395826086402,0.001221543992869556,0.0003901189484167844,-21.72,5.0,132,1.68,
204,morfonica,Tempest,,,,,,-20.51,5.0,,1.63,
205,morfonica,フレージング ミラージュ,263.63,0.0007951103616505861,0.0004398107703309506,0.0013654913054779172,0.0004079430946148932,-19.18,5.0,132,1.7,
206,morfonica,MUGEN Reverberate!,230.33,0.0007500050123780966,0.00040627564885653555,0.0013670404441654682,0.0004025380767416209,-22.93,5.0,116,1.48,
207,morfonica,わたしまちがいさがし,273.01,0.0006908558425493538,0.00035686639603227377,0.0011083879508078098,0.00035773596027866006,-20.3,5.0,137,1.52,
208,morfonica,esora no clover,193.87,0.0010082762455567718,0.0005360272480174899,0.0023941020481288433,0.0008811256848275661,-22.94,5.0,97,0.94,
209,morfonica,きょうもMerry go rounD,,,,,,-18.21,5.0,,1.23,
210,morfonica,Feathered Dreams,226.37,0.000664379564113915,0.00037886149948462844,0.0011043139966204762,0.000303309119772166,-16.51,5.0,114,1.23,
211,morfonica,Portray Empathy,253.3,0.0008222653996199369,0.00032803110661916435,0.001697456929832697,0.0007294196402654052,-17.9,5.0,127,1.24,
212,morfonica,ビューティ・フォー,189.33,0.0007879913900978863,0.0003389861376490444,0.0015069205546751618,0.00047740479931235313,-18.45,5.0,95,0.98,
213,morfonica,胡蝶翔る星月夜,204.67,0.0009237099438905716,0.00036886311136186123,0.0016219269018620253,0.0005692171980626881,-17.91,5.0,103,0.96,
214,morfonica,Color of Us,233.73,0.0007822625921107829,0.0004101403756067157,0.0015158822061493993,0.00043104978976771235,-20.19,5.0,117,1.06,
215,morfonica,Resonant Strings,240.38,0.000843411311507225,0.000400328281102702,0.0015964274061843753,0.0014127998147159815,-16.85,5.0,121,1.14,
216,morfonica,Shining Leaves,217.97,0.000667425396386534,0.00037352528306655586,0.0012232911540195346,0.0008460174431093037,-16.44,5.0,109,0.98,
217,morfonica,音がえしのセレナーデ,301.77,0.0009539933525957167,0.0005397654022090137,0.001998448045924306,0.0011682891054078937,-21.31,5.0,151,1.39,
218,morfonica,蒼穹へのトレイル,219.17,0.0006866840994916856,0.0004315835831221193,0.0013265253510326147,0.0006102191400714219,-21.07,5.0,110,1.05,
219,morfonica,QUEEN (Cover),145.77,0.0008038373780436814,0.0003932153922505677,0.001662572380155325,0.0006123250350356102,-17.95,5.0,73,0.66,
220,morfonica,again (Cover),250.8,0.0007920911302790046,0.0003505861677695066,0.0015168199315667152,0.0004697480471804738,-21.44,5.0,126,1.17,
221,morfonica,輪舞-revolution (Cover),273.5,0.000720845942851156,0.0003743085253518075,0.0017237045103684068,0.0005920931580476463,-18.52,5.0,137,1.26,
222,morfonica,メロウ (Cover),249.2,0.0008812480955384672,0.00034296742524020374,0.0016683634603396058,0.0006173692527227104,-22.87,5.0,125,1.16,
223,morfonica,祝福 (Cover),,,,,,-20.18,5.0,,0.9,
224,morfonica,Overdose (Cover),,,,,,-20.54,5.0,,0.89,
225,morfonica,かくれんぼ (Cover),298.7,0.0010212338529527187,0.0004859119071625173,0.0018515359843149781,0.0005992443184368312,-21.22,5.0,150,1.37,
226,morfonica,chAngE (Cover),249.57,0.0007660664268769324,0.0004269153287168592,0.0013680427800863981,0.0005065524019300938,-19.5,5.0,125,1.17,
227,morfonica,ALIVE (Cover),,,,,,-18.59,5.0,,1.0,
228,morfonica,Nameless Story (Cover),243.03,0.0009532435797154903,0.00043300105608068407,0.001855548587627709,0.0010112941963598132,-18.91,5.0,122,1.0,
229,morfonica,青空のラプソディ (Cover),277.37,0.0009050448425114155,0.0005017237272113562,0.0019642736297100782,0.0008063131826929748,-17.61,5.0,139,0.8,
