idx,tag,band,song,drum_tempo_bpm,bestdori_id,official_bpm,n_unique_bpm,estimated_bpm,final_bpm,bpm_source
105,various_artists__105,various_artists,CiRCLE THANKS MUSiC♪,123.0,,,,123.0,123.0,estimated
106,hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,123.0,150.0,124.0,1.0,123.0,124.0,official
107,hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,99.4,132.0,198.0,1.0,198.8,198.0,official
108,hello_happy_world__108,hello_happy_world,スマイルブーケで た〜まや〜！,76.0,212.0,151.0,1.0,152.0,151.0,official
109,hello_happy_world__109,hello_happy_world,えがお･シング･あ･ソング,152.0,189.0,150.0,1.0,152.0,150.0,official
110,hello_happy_world__110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,86.1,68.0,172.0,1.0,172.2,172.0,official
111,hello_happy_world__111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,95.7,197.0,190.0,1.0,191.4,190.0,official
112,hello_happy_world__112,hello_happy_world,ないすみちゅっ！,87.6,341.0,174.0,1.0,175.2,174.0,official
113,hello_happy_world__113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,107.7,37.0,215.0,1.0,215.4,215.0,official
114,hello_happy_world__114,hello_happy_world,うぃーきゃん☆フレフレっ！,90.7,262.0,180.0,4.0,181.4,180.0,official
115,hello_happy_world__115,hello_happy_world,えがおのオーケストラっ！,139.7,35.0,138.0,1.0,139.7,138.0,official
116,hello_happy_world__116,hello_happy_world,にこにこねくと！,83.4,313.0,167.0,1.0,166.8,167.0,official
117,hello_happy_world__117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,126.0,524.0,126.0,1.0,126.0,126.0,official
118,hello_happy_world__118,hello_happy_world,せかいのっびのびトレジャー！,84.7,69.0,85.0,2.0,169.4,85.0,official
119,hello_happy_world__119,hello_happy_world,きらっ☆と キミフェス！,129.2,362.0,128.0,1.0,129.2,128.0,official
120,hello_happy_world__120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,97.5,443.0,194.0,6.0,195.0,194.0,official
121,hello_happy_world__121,hello_happy_world,はれやか すこやか ぴかりんりん♪,114.8,171.0,230.0,1.0,114.8,230.0,official
122,hello_happy_world__122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,129.2,123.0,130.0,1.0,129.2,130.0,official
123,hello_happy_world__123,hello_happy_world,Happy! Happier! Happiest!,86.1,428.0,172.0,1.0,172.2,172.0,official
124,hello_happy_world__124,hello_happy_world,現るっ！大怪盗ハロハッピー！,92.3,393.0,184.0,1.0,184.6,184.0,official
125,hello_happy_world__125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,161.5,94.0,160.0,1.0,161.5,160.0,official
126,hello_happy_world__126,hello_happy_world,おもいでイルミネーション,166.7,230.0,165.0,1.0,166.7,165.0,official
127,hello_happy_world__127,hello_happy_world,おもいやりハーモニー,136.0,421.0,135.0,7.0,136.0,135.0,official
128,hello_happy_world__128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,92.3,36.0,184.0,1.0,184.6,184.0,official
129,hello_happy_world__129,hello_happy_world,えがお、あーゆーれでぃ???,139.7,460.0,138.0,1.0,139.7,138.0,official
130,hello_happy_world__130,hello_happy_world,ハッピーサマーウェディング,129.2,52.0,128.0,1.0,129.2,128.0,official
131,hello_happy_world__131,hello_happy_world,ひまわりの約束,79.5,62.0,79.0,1.0,159.0,79.0,official
132,hello_happy_world__132,hello_happy_world,ハッピー☆マテリアル,82.0,392.0,163.0,1.0,164.0,163.0,official
133,hello_happy_world__133,hello_happy_world,太陽曰く燃えよカオス,143.6,127.0,143.0,1.0,143.6,143.0,official
134,hello_happy_world__134,hello_happy_world,エクストラ・マジック・アワー,90.7,157.0,180.0,1.0,181.4,180.0,official
135,hello_happy_world__135,hello_happy_world,コレカラ,161.5,221.0,162.0,1.0,161.5,162.0,official
136,hello_happy_world__136,hello_happy_world,全力少年,132.5,231.0,134.0,1.0,132.5,134.0,official
137,hello_happy_world__137,hello_happy_world,オレンジ,139.7,316.0,140.0,1.0,139.7,140.0,official
138,hello_happy_world__138,hello_happy_world,Happy Girl,143.6,334.0,145.0,1.0,143.6,145.0,official
139,hello_happy_world__139,hello_happy_world,ン・パカマーチ,117.5,358.0,117.0,1.0,117.5,117.0,official
140,hello_happy_world__140,hello_happy_world,サンバロハッピ〜！,129.2,607.0,129.0,1.0,129.2,129.0,official
141,hello_happy_world__141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,89.1,523.0,178.0,1.0,178.2,178.0,official
142,hello_happy_world__142,hello_happy_world,むすんでわらって,129.2,600.0,130.0,1.0,129.2,130.0,official
143,hello_happy_world__143,hello_happy_world,キミを れっつ・はぶ・ふぁん♪,156.6,504.0,158.0,1.0,156.6,158.0,official
144,hello_happy_world__144,hello_happy_world,らいふ・いず・みゅーじかるっ♪♪♪,139.7,559.0,140.0,1.0,139.7,140.0,official
145,hello_happy_world__145,hello_happy_world,れっつ・スマイル・すとり〜みんぐっ♪,74.9,664.0,150.0,1.0,149.8,150.0,official
146,hello_happy_world__146,hello_happy_world,やっほー！いっぽ！わんだふぉー！,156.6,691.0,158.0,5.0,156.6,158.0,official
147,hello_happy_world__147,hello_happy_world,とーくとぅみー・とーくとぅゆー,136.0,721.0,137.0,1.0,136.0,137.0,official
148,hello_happy_world__148,hello_happy_world,ハイタッチ／＼びりーばーず☆,166.7,641.0,165.0,1.0,166.7,165.0,official
149,hello_happy_world__149,hello_happy_world,Listen to Smile!,126.0,619.0,127.0,1.0,126.0,127.0,official
150,hello_happy_world__150,hello_happy_world,スマイリーキャロル,110.0,750.0,220.0,1.0,220.0,220.0,official
151,hello_happy_world__151,hello_happy_world,えがお、み〜っけた！,143.6,280.0,143.0,1.0,143.6,143.0,official
152,hello_happy_world__152,hello_happy_world,上海ハニー (Cover),129.2,208.0,130.0,2.0,129.2,130.0,official
153,hello_happy_world__153,hello_happy_world,シル・ヴ・プレジデント (Cover),87.6,,,,175.2,175.2,estimated
154,hello_happy_world__154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),99.4,429.0,200.0,1.0,198.8,200.0,official
155,hello_happy_world__155,hello_happy_world,はいよろこんで (Cover),147.7,673.0,147.0,1.0,147.7,147.0,official
156,hello_happy_world__156,hello_happy_world,シカ色デイズ (Cover),92.3,655.0,183.0,1.0,184.6,183.0,official
157,hello_happy_world__157,hello_happy_world,強風オールバック (Cover),136.0,567.0,135.0,1.0,136.0,135.0,official
158,hello_happy_world__158,hello_happy_world,最高到達点 (Cover),132.5,697.0,132.0,1.0,132.5,132.0,official
159,hello_happy_world__159,hello_happy_world,許婚っきゅん (Cover),147.7,780.0,147.0,1.0,147.7,147.0,official
160,hello_happy_world__160,hello_happy_world,新宝島 (Cover),156.6,146.0,158.0,2.0,156.6,158.0,official
161,hello_happy_world__161,hello_happy_world,ドレミファロンド (Cover),126.0,246.0,125.0,1.0,126.0,125.0,official
162,hello_happy_world__162,hello_happy_world,きゅうくらりん (Cover),110.0,591.0,220.0,1.0,220.0,220.0,official
163,hello_happy_world__163,hello_happy_world,ロメオ (Cover),139.7,77.0,140.0,1.0,139.7,140.0,official
164,hello_happy_world__164,hello_happy_world,エイリアンエイリアン (Cover),152.0,139.0,152.0,1.0,152.0,152.0,official
165,hello_happy_world__165,hello_happy_world,いーあるふぁんくらぶ (Cover),143.6,21.0,145.0,1.0,143.6,145.0,official
166,hello_happy_world__166,hello_happy_world,回レ！雪月花 (Cover),79.5,166.0,160.0,1.0,159.0,160.0,official
167,hello_happy_world__167,hello_happy_world,恋愛裁判 (Cover),132.5,201.0,134.0,1.0,132.5,134.0,official
168,hello_happy_world__168,hello_happy_world,TOMORROW (Cover),132.5,363.0,134.0,1.0,132.5,134.0,official
169,hello_happy_world__169,hello_happy_world,GO! GO! MANIAC (Cover),126.0,141.0,250.0,1.0,126.0,250.0,official
170,hello_happy_world__170,hello_happy_world,Dragon Night (Cover),123.0,88.0,124.0,1.0,123.0,124.0,official
171,hello_happy_world__171,hello_happy_world,ようこそジャパリパークへ (Cover),84.7,472.0,170.0,2.0,169.4,170.0,official
172,hello_happy_world__172,hello_happy_world,ウィーアー！ (Cover),84.7,285.0,168.0,1.0,169.4,168.0,official
173,hello_happy_world__173,hello_happy_world,おジャ魔女カーニバル!! (Cover),147.7,297.0,148.0,1.0,147.7,148.0,official
174,hello_happy_world__174,hello_happy_world,ダーリンダンス (Cover),152.0,482.0,153.0,1.0,152.0,153.0,official
175,hello_happy_world__175,hello_happy_world,ノーポイッ！ (Cover),156.6,191.0,158.0,1.0,156.6,158.0,official
176,hello_happy_world__176,hello_happy_world,SHINY DAYS (Cover),110.0,320.0,110.0,1.0,220.0,110.0,official
177,hello_happy_world__177,hello_happy_world,シルエット (Cover),92.3,22.0,183.0,1.0,184.6,183.0,official
178,ikka_dumb_rock__178,ikka_dumb_rock,ホーミー・タイッ！！,129.2,,,,129.2,129.2,estimated
179,millsage__179,millsage,起死開戦,112.3,,,,112.3,112.3,estimated
180,morfonica__180,morfonica,Daylight -デイライト-,92.3,255.0,185.0,10.0,184.6,185.0,official
181,morfonica__181,morfonica,メランコリックララバイ,90.7,605.0,181.0,1.0,181.4,181.0,official
182,morfonica__182,morfonica,flame of hope,95.7,279.0,190.0,1.0,191.4,190.0,official
183,morfonica__183,morfonica,ブルームブルーム,90.7,263.0,180.0,1.0,181.4,180.0,official
184,morfonica__184,morfonica,カラフルリバティー,92.3,436.0,185.0,1.0,184.6,185.0,official
185,morfonica__185,morfonica,fly with the night,84.7,365.0,170.0,1.0,169.4,170.0,official
186,morfonica__186,morfonica,金色へのプレリュード,87.6,256.0,175.0,1.0,175.2,175.0,official
187,morfonica__187,morfonica,The Circle Of Butterflies,87.6,441.0,174.0,1.0,175.2,174.0,official
188,morfonica__188,morfonica,ハーモニー・デイ,90.7,300.0,182.0,1.0,181.4,182.0,official
189,morfonica__189,morfonica,Sweet Cheers!,110.0,471.0,110.0,1.0,220.0,110.0,official
190,morfonica__190,morfonica,"寄る辺のSunny, Sunny",92.3,435.0,184.0,1.0,184.6,184.0,official
191,morfonica__191,morfonica,誓いのWingbeat,103.4,586.0,205.0,9.0,206.8,205.0,official
192,morfonica__192,morfonica,Ever Sky Blue,97.5,520.0,195.0,1.0,195.0,195.0,official
193,morfonica__193,morfonica,Polyphonyscape,152.0,703.0,153.0,1.0,152.0,153.0,official
194,morfonica__194,morfonica,Wreath of Brave,136.0,612.0,135.0,1.0,136.0,135.0,official
195,morfonica__195,morfonica,Merry Merry Thanks!!,143.6,555.0,145.0,2.0,143.6,145.0,official
196,morfonica__196,morfonica,Sonorous,132.5,327.0,132.0,1.0,132.5,132.0,official
197,morfonica__197,morfonica,両翼のBrilliance,86.1,601.0,172.0,1.0,172.2,172.0,official
198,morfonica__198,morfonica,Steer to Utopia,97.5,663.0,195.0,1.0,195.0,195.0,official
199,morfonica__199,morfonica,Fateful...,132.5,374.0,132.0,1.0,132.5,132.0,official
200,morfonica__200,morfonica,ティリカモニカリラ,139.7,636.0,140.0,6.0,139.7,140.0,official
201,morfonica__201,morfonica,Secret Dawn,132.5,347.0,131.0,2.0,132.5,131.0,official
202,morfonica__202,morfonica,Angel's Ladder,99.4,500.0,198.0,1.0,198.8,198.0,official
203,morfonica__203,morfonica,One step at a time,87.6,398.0,175.0,1.0,175.2,175.0,official
204,morfonica__204,morfonica,Tempest,101.3,654.0,202.0,1.0,202.6,202.0,official
205,morfonica__205,morfonica,フレージング ミラージュ,95.7,,,,191.4,191.4,estimated
206,morfonica__206,morfonica,MUGEN Reverberate!,94.0,,,,188.0,188.0,estimated
207,morfonica__207,morfonica,わたしまちがいさがし,120.2,,,,120.2,120.2,estimated
208,morfonica__208,morfonica,esora no clover,161.5,,,,161.5,161.5,estimated
209,morfonica__209,morfonica,きょうもMerry go rounD,136.0,,,,136.0,136.0,estimated
210,morfonica__210,morfonica,Feathered Dreams,87.6,708.0,175.0,1.0,175.2,175.0,official
211,morfonica__211,morfonica,Portray Empathy,86.1,692.0,172.0,1.0,172.2,172.0,official
212,morfonica__212,morfonica,ビューティ・フォー,99.4,728.0,198.0,1.0,198.8,198.0,official
213,morfonica__213,morfonica,胡蝶翔る星月夜,99.4,798.0,200.0,1.0,198.8,200.0,official
214,morfonica__214,morfonica,Color of Us,97.5,718.0,194.0,1.0,195.0,194.0,official
215,morfonica__215,morfonica,Resonant Strings,97.5,724.0,195.0,1.0,195.0,195.0,official
216,morfonica__216,morfonica,Shining Leaves,92.3,764.0,185.0,1.0,184.6,185.0,official
217,morfonica__217,morfonica,音がえしのセレナーデ,92.3,530.0,185.0,4.0,184.6,185.0,official
218,morfonica__218,morfonica,蒼穹へのトレイル,95.7,581.0,192.0,1.0,191.4,192.0,official
219,morfonica__219,morfonica,QUEEN (Cover),84.7,514.0,170.0,1.0,169.4,170.0,official
220,morfonica__220,morfonica,again (Cover),94.0,688.0,140.0,1.0,188.0,140.0,official
221,morfonica__221,morfonica,輪舞-revolution (Cover),129.2,634.0,128.0,1.0,129.2,128.0,official
222,morfonica__222,morfonica,メロウ (Cover),72.8,775.0,145.0,1.0,145.6,145.0,official
223,morfonica__223,morfonica,祝福 (Cover),84.7,532.0,170.0,1.0,169.4,170.0,official
224,morfonica__224,morfonica,Overdose (Cover),117.5,563.0,118.0,1.0,117.5,118.0,official
225,morfonica__225,morfonica,かくれんぼ (Cover),90.7,592.0,180.0,1.0,181.4,180.0,official
226,morfonica__226,morfonica,chAngE (Cover),82.0,259.0,165.0,1.0,164.0,165.0,official
227,morfonica__227,morfonica,ALIVE (Cover),89.1,481.0,180.0,4.0,178.2,180.0,official
228,morfonica__228,morfonica,Nameless Story (Cover),97.5,455.0,195.0,1.0,195.0,195.0,official
229,morfonica__229,morfonica,青空のラプソディ (Cover),136.0,418.0,135.0,1.0,136.0,135.0,official
230,morfonica__230,morfonica,Nevereverland (Cover),103.4,295.0,206.5,2.0,206.8,206.5,official
231,morfonica__231,morfonica,メリッサ (Cover),84.7,257.0,170.0,1.0,169.4,170.0,official
232,morfonica__232,morfonica,COLORFUL BOX (Cover),161.5,352.0,161.0,1.0,161.5,161.0,official
233,morfonica__233,morfonica,unravel (Cover),136.0,408.0,135.0,1.0,136.0,135.0,official
234,morfonica__234,morfonica,アゲハ蝶 (Cover),114.8,321.0,116.0,1.0,114.8,116.0,official
235,morfonica__235,morfonica,V.I.P (Cover),92.3,329.0,185.0,1.0,184.6,185.0,official
236,morfonica__236,morfonica,CQCQ (Cover),143.6,311.0,144.0,1.0,143.6,144.0,official
237,mugendai_mutype__237,mugendai_mutype,アイの夢限,120.2,,,,120.2,120.2,estimated
238,mugendai_mutype__238,mugendai_mutype,どんがらがっしゃん,132.5,,,,132.5,132.5,estimated
239,mugendai_mutype__239,mugendai_mutype,みゅーたんとミュータント,152.0,,,,152.0,152.0,estimated
240,mugendai_mutype__240,mugendai_mutype,チューニング,97.5,,,,195.0,195.0,estimated
241,mugendai_mutype__241,mugendai_mutype,Dream Voyage,156.6,,,,156.6,156.6,estimated
242,mugendai_mutype__242,mugendai_mutype,グラディエント,120.2,,,,120.2,120.2,estimated
243,mugendai_mutype__243,mugendai_mutype,LET'Sあちあちトレーニング！,178.2,,,,178.2,178.2,estimated
244,mugendai_mutype__244,mugendai_mutype,真夜中遊園地,97.5,,,,195.0,195.0,estimated
245,mugendai_mutype__245,mugendai_mutype,テレパシー,89.1,,,,178.2,178.2,estimated
246,mugendai_mutype__246,mugendai_mutype,TRASH LIFE,120.2,,,,120.2,120.2,estimated
247,mugendai_mutype__247,mugendai_mutype,新人類は仮想世界の夢を見るか?,90.7,,,,181.4,181.4,estimated
248,mugendai_mutype__248,mugendai_mutype,コミュ着火Fire!,99.4,,,,198.8,198.8,estimated
249,mugendai_mutype__249,mugendai_mutype,Calling,87.6,,,,175.2,175.2,estimated
250,mugendai_mutype__250,mugendai_mutype,Hi-Vision,101.3,,,,202.6,202.6,estimated
251,mugendai_mutype__251,mugendai_mutype,コハク,97.5,,,,195.0,195.0,estimated
252,mugendai_mutype__252,mugendai_mutype,✞animaるパーティ✞開催中✞,97.5,,,,195.0,195.0,estimated
253,mugendai_mutype__253,mugendai_mutype,エンプティパペット,126.0,,,,126.0,126.0,estimated
254,mugendai_mutype__254,mugendai_mutype,限界現実サバイブ天使,94.0,,,,188.0,188.0,estimated
255,mugendai_mutype__255,mugendai_mutype,ビッグマウス,143.6,,,,143.6,143.6,estimated
256,mugendai_mutype__256,mugendai_mutype,夢現妄想世界,97.5,,,,195.0,195.0,estimated
257,mugendai_mutype__257,mugendai_mutype,やわやわNERD 超FreQuency,147.7,,,,147.7,147.7,estimated
258,mugendai_mutype__258,mugendai_mutype,超惑星Xへの旅,136.0,,,,136.0,136.0,estimated
259,mugendai_mutype__259,mugendai_mutype,これはぼくたちの生存のあらすじ,95.7,,,,191.4,191.4,estimated
260,mygo__260,mygo,迷星叫,95.7,489.0,190.0,1.0,191.4,190.0,official
261,mygo__261,mygo,壱雫空,101.3,512.0,204.0,4.0,202.6,204.0,official
262,mygo__262,mygo,碧天伴走,95.7,515.0,192.0,1.0,191.4,192.0,official
263,mygo__263,mygo,影色舞,166.7,540.0,166.0,1.0,166.7,166.0,official
