idx,tag,bestdori_id,match_method,official_bpm,official_bpm_min,official_bpm_max,n_unique_bpm,dominant_coverage
461,poppin_party__461,353,title-unique,189.0,100.0,189.0,2,0.8835629730254221
462,poppin_party__462,181,band+title,190.0,190.0,190.0,1,1.0
463,poppin_party__463,626,band+title,153.0,153.0,153.0,1,1.0
464,poppin_party__464,678,band+title,246.0,246.0,246.0,1,1.0
465,poppin_party__465,653,title-unique,95.5,95.5,99.5,2,0.6376655698501521
466,poppin_party__466,502,band+title,190.0,190.0,190.0,1,1.0
467,poppin_party__467,744,title-unique,159.0,159.0,159.0,1,1.0
468,poppin_party__468,774,band+title,153.0,153.0,155.0,2,0.7643676806710809
469,poppin_party__469,566,band+title,192.0,192.0,192.0,1,1.0
470,poppin_party__470,538,band+title,137.0,137.0,137.0,1,1.0
471,poppin_party__471,173,band+title,132.0,132.0,132.0,1,1.0
472,poppin_party__472,100,band+title,140.0,140.0,140.0,1,1.0
473,poppin_party__473,594,band+title,150.0,150.0,150.0,1,1.0
474,poppin_party__474,42,band+title,160.0,160.0,160.0,1,1.0
475,poppin_party__475,209,band+title,135.0,135.0,135.0,1,1.0
476,poppin_party__476,67,band+title,143.0,143.0,143.0,1,1.0
477,poppin_party__477,138,band+title,170.0,170.0,170.0,1,1.0
478,poppin_party__478,190,band+title,150.0,150.0,150.0,1,1.0
479,poppin_party__479,86,band+title,131.0,131.0,131.0,1,1.0
480,poppin_party__480,480,band+title,128.0,128.0,128.0,1,1.0
481,poppin_party__481,351,title-unique,160.0,160.0,160.0,1,1.0
482,poppin_party__482,179,title-unique,143.0,143.0,143.0,1,1.0
483,poppin_party__483,120,band+title,135.0,135.0,135.0,1,1.0
484,poppin_party__484,199,band+title,172.0,172.0,172.0,1,1.0
485,poppin_party__485,196,band+title,190.0,190.0,190.0,1,1.0
486,poppin_party__486,403,band+title,164.0,164.0,164.0,1,1.0
487,poppin_party__487,382,band+title,170.0,170.0,170.0,1,1.0
488,poppin_party__488,343,band+title,174.0,174.0,174.0,1,1.0
489,poppin_party__489,8,band+title,174.0,174.0,174.0,1,1.0
490,raise_a_suilen__490,448,band+title,197.0,197.0,197.0,1,1.0
491,raise_a_suilen__491,203,band+title,150.0,150.0,150.0,1,1.0
492,raise_a_suilen__492,432,band+title,192.0,192.0,192.0,1,1.0
493,raise_a_suilen__493,194,band+title,170.0,170.0,170.0,1,1.0
494,raise_a_suilen__494,359,band+title,197.0,197.0,197.0,1,1.0
495,raise_a_suilen__495,288,band+title,175.0,175.0,175.0,1,1.0
496,raise_a_suilen__496,449,band+title,92.0,92.0,92.0,1,1.0
497,raise_a_suilen__497,413,band+title,210.0,210.0,210.0,1,1.0
498,raise_a_suilen__498,289,band+title,169.0,169.0,169.0,1,1.0
499,raise_a_suilen__499,693,band+title,182.0,182.0,182.0,1,1.0
500,raise_a_suilen__500,247,band+title,190.0,190.0,190.0,1,1.0
