idx,tag,band,song,drum_tempo_bpm,n_candidates_in_range,base_in_range,selected_multiplier,selected_bpm,selected_acf,audio_status,cand_0.500_bpm,cand_0.500_acf,cand_0.667_bpm,cand_0.667_acf,cand_1.000_bpm,cand_1.000_acf,cand_1.500_bpm,cand_1.500_acf,cand_2.000_bpm,cand_2.000_acf
99,ave_mujica__099,ave_mujica,KINGS (Cover),87.6,3,True,1.0,87.6,0.7603368759155273,ok,,,,,87.6,0.7603368759155273,131.39999999999998,0.0902874767780304,175.2,0.6559560894966125
100,ave_mujica__100,ave_mujica,暗黒天国 (Cover),95.7,3,True,1.0,95.7,0.6385415196418762,ok,,,,,95.7,0.6385415196418762,143.55,0.2767830491065979,191.4,0.5243410468101501
101,various_artists__101,various_artists,Don't be afraid!,90.7,3,True,1.0,90.7,0.6479915380477905,ok,,,,,90.7,0.6479915380477905,136.05,0.16013680398464203,181.4,0.5737481117248535
102,various_artists__102,various_artists,Glee! Glee! Glee!,90.7,3,True,1.0,90.7,0.6257298588752747,ok,,,,,90.7,0.6257298588752747,136.05,0.12077000737190247,181.4,0.556283175945282
103,various_artists__103,various_artists,"Be shine, shining!",117.5,2,True,1.0,117.5,0.4471314251422882,ok,,,,,117.5,0.4471314251422882,176.25,0.10406561195850372,,
104,various_artists__104,various_artists,"Here, the world",123.0,2,True,1.0,123.0,0.7959092855453491,ok,,,,,123.0,0.7959092855453491,184.5,0.09748037904500961,,
105,various_artists__105,various_artists,CiRCLE THANKS MUSiC♪,123.0,2,True,1.0,123.0,0.6313875913619995,ok,,,,,123.0,0.6313875913619995,184.5,0.12512356042861938,,
106,hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,123.0,2,True,1.0,123.0,0.5338935852050781,ok,,,,,123.0,0.5338935852050781,184.5,0.17371022701263428,,
107,hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,99.4,3,True,1.0,99.4,0.7339083552360535,ok,,,,,99.4,0.7339083552360535,149.10000000000002,0.12436254322528839,198.8,0.585000216960907
108,hello_happy_world__108,hello_happy_world,スマイルブーケで た〜まや〜！,76.0,2,True,2.0,152.0,0.6236529350280762,ok,,,,,,,114.0,0.160028874874115,152.0,0.6236529350280762
109,hello_happy_world__109,hello_happy_world,えがお･シング･あ･ソング,152.0,2,True,1.0,152.0,0.6508516669273376,ok,,,101.33333333333333,0.4610111713409424,152.0,0.6508516669273376,,,,
