idx,tag,band,song,drum_tempo_bpm,n_candidates,rule,decision_ratio,octave_shift,selected_bpm,base_in_range
97,ave_mujica__097,ave_mujica,碧い瞳の中に,95.7,2,acf_up,0.888,0,95.7,True
98,ave_mujica__098,ave_mujica,堕天 (Cover),103.4,2,acf_up,0.947,0,103.4,True
99,ave_mujica__099,ave_mujica,KINGS (Cover),87.6,2,acf_up,0.863,0,87.6,True
100,ave_mujica__100,ave_mujica,暗黒天国 (Cover),95.7,2,acf_up,0.821,0,95.7,True
101,various_artists__101,various_artists,Don't be afraid!,90.7,2,acf_up,0.885,0,90.7,True
102,various_artists__102,various_artists,Glee! Glee! Glee!,90.7,2,acf_up,0.889,0,90.7,True
103,various_artists__103,various_artists,"Be shine, shining!",117.5,1,unique,,0,117.5,True
104,various_artists__104,various_artists,"Here, the world",123.0,1,unique,,0,123.0,True
105,various_artists__105,various_artists,CiRCLE THANKS MUSiC♪,123.0,1,unique,,0,123.0,True
106,hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,123.0,1,unique,,0,123.0,True
107,hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,99.4,2,acf_up,0.797,0,99.4,True
108,hello_happy_world__108,hello_happy_world,スマイルブーケで た〜まや〜！,76.0,1,unique,,1,152.0,False
109,hello_happy_world__109,hello_happy_world,えがお･シング･あ･ソング,152.0,1,unique,,0,152.0,True
110,hello_happy_world__110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,86.1,2,acf_up,0.86,0,86.1,True
111,hello_happy_world__111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,95.7,2,acf_up,0.899,0,95.7,True
112,hello_happy_world__112,hello_happy_world,ないすみちゅっ！,87.6,2,acf_up,0.911,0,87.6,True
113,hello_happy_world__113,hello_happy_world,ゴーカ！ごーかい！？ファントムシーフ！,107.7,2,acf_up,0.857,0,107.7,True
114,hello_happy_world__114,hello_happy_world,うぃーきゃん☆フレフレっ！,90.7,2,acf_up,0.788,0,90.7,True
115,hello_happy_world__115,hello_happy_world,えがおのオーケストラっ！,139.7,1,unique,,0,139.7,True
116,hello_happy_world__116,hello_happy_world,にこにこねくと！,83.4,1,unique,,1,166.8,False
117,hello_happy_world__117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,126.0,1,unique,,0,126.0,True
118,hello_happy_world__118,hello_happy_world,せかいのっびのびトレジャー！,84.7,1,unique,,1,169.4,False
119,hello_happy_world__119,hello_happy_world,きらっ☆と キミフェス！,129.2,1,unique,,0,129.2,True
120,hello_happy_world__120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,97.5,2,acf_up,0.825,0,97.5,True
121,hello_happy_world__121,hello_happy_world,はれやか すこやか ぴかりんりん♪,114.8,1,unique,,0,114.8,True
122,hello_happy_world__122,hello_happy_world,ふわふわ☆ゆめいろサンドイッチ,129.2,1,unique,,0,129.2,True
123,hello_happy_world__123,hello_happy_world,Happy! Happier! Happiest!,86.1,2,acf_up,0.892,0,86.1,True
