tag,essentia_key,essentia_scale,essentia_key_strength,status
morfonica__192,Ab,minor,0.526450753212,success
morfonica__193,F#,major,0.844186365604,success
morfonica__194,B,major,0.841441512108,success
morfonica__195,E,major,0.718612313271,success
morfonica__196,C,major,0.726460516453,success
morfonica__197,D,minor,0.670674741268,success
morfonica__198,B,major,0.676791608334,success
morfonica__199,G,major,0.525288283825,success
morfonica__200,B,minor,0.864536583424,success
morfonica__201,Bb,major,0.781469881535,success
morfonica__202,Bb,major,0.717115879059,success
morfonica__203,E,major,0.816215574741,success
morfonica__204,E,minor,0.672781944275,success
morfonica__205,E,minor,0.697467386723,success
morfonica__206,B,minor,0.461557507515,success
morfonica__207,F,major,0.769896864891,success
morfonica__208,F,major,0.640774846077,success
morfonica__209,B,major,0.668553948402,success
morfonica__210,A,minor,0.656775176525,success
morfonica__211,C,major,0.732877850533,success
morfonica__212,D,major,0.740095973015,success
morfonica__213,A,major,0.72410595417,success
morfonica__214,Ab,major,0.702715396881,success
morfonica__215,A,minor,0.630882918835,success
morfonica__216,D,major,0.76389759779,success
morfonica__217,G,major,0.670887410641,success
morfonica__218,Bb,major,0.621154487133,success
morfonica__219,G,minor,0.57590675354,success
morfonica__220,A,minor,0.724038720131,success
morfonica__221,D,minor,0.680986464024,success
morfonica__222,C#,major,0.792025029659,success
morfonica__223,A,minor,0.728024840355,success
morfonica__224,D,minor,0.715328752995,success
morfonica__225,B,major,0.400352805853,success
morfonica__226,A,major,0.457003593445,success
morfonica__227,E,major,0.614782333374,success
morfonica__228,A,minor,0.56525272131,success
morfonica__229,A,minor,0.596927464008,success
morfonica__230,A,minor,0.594225883484,success
morfonica__231,C,minor,0.513278186321,success
morfonica__232,F,major,0.634547054768,success
morfonica__233,Ab,major,0.657532632351,success
morfonica__234,D,minor,0.527090370655,success
morfonica__235,F,major,0.655594289303,success
morfonica__236,A,major,0.551640093327,success
mugendai_mutype__237,A,major,0.673261225224,success
mugendai_mutype__238,F,major,0.632369577885,success
mugendai_mutype__239,Bb,major,0.576591908932,success
mugendai_mutype__240,C#,major,0.680395364761,success
mugendai_mutype__241,F,major,0.558548569679,success
mugendai_mutype__242,C,major,0.697221815586,success
mugendai_mutype__243,Bb,minor,0.627621889114,success
mugendai_mutype__244,D,minor,0.716916799545,success
mugendai_mutype__245,A,minor,0.748971283436,success
mugendai_mutype__246,Bb,major,0.841714203358,success
mugendai_mutype__247,F,major,0.464344471693,success
mugendai_mutype__248,F,minor,0.645755171776,success
mugendai_mutype__249,Bb,major,0.800078511238,success
mugendai_mutype__250,Bb,minor,0.384199947119,success
